Seasonal Indexes Used to Adjust Houses Sold and For Sale by Stage of Construction,,,,,,,,
,,,,,,,,
(Components may not add to total because of rounding.  Number of housing units in thousands.),,,,,,,,
,,,,,,,,
Year,Sold during period,,,,For Sale at end of period,,,
Oct 2000,91.3,83.8,94.4,95.8,101.3,98.1,102.4,100.6
Nov 2000,85.9,82.2,84.3,89.9,101.3,97.4,102.2,101.9
Dec 2000,79.3,79.7,74.4,92.8,101.0,95.4,101.2,104.2
Jan 2001,92.3,97.6,84.5,88.6,100.7,97.6,99.9,103.3
Feb 2001,105.9,111.7,99.9,98.8,98.3,96.9,97.3,101.7
Mar 2001,120.1,124.0,115.5,111.8,97.9,100.8,97.2,98.6
Apr 2001,110.9,116.9,110.6,100.7,98.0,99.9,98.5,99.5
May 2001,108.5,109.0,114.5,103.4,99.3,102.5,99.0,100.5
Jun 2001,107.5,106.0,112.0,107.2,100.3,102.9,100.2,98.5
Jul 2001,103.6,97.8,105.4,107.8,100.3,100.3,101.5,95.2
Aug 2001,102.5,101.3,108.7,105.2,100.6,107.6,100.2,96.1
Sep 2001,92.8,89.1,96.0,98.0,100.0,100.3,100.3,99.2
Oct 2001,90.9,85.8,94.9,95.7,101.9,97.7,102.4,100.7
Nov 2001,87.0,82.2,82.8,90.1,101.6,98.2,102.1,101.8
Dec 2001,80.9,80.1,75.4,93.9,100.6,94.3,101.0,104.4
Jan 2002,90.0,97.8,84.0,87.0,101.0,99.7,100.1,103.8
Feb 2002,106.3,110.1,99.2,97.1,98.7,99.0,97.3,102.3
Mar 2002,117.0,123.8,115.1,112.0,97.2,100.9,97.2,98.8
Apr 2002,110.3,116.3,110.7,101.3,98.8,100.9,98.4,99.4
May 2002,108.0,108.7,115.1,106.0,100.0,103.9,99.1,100.1
Jun 2002,105.3,105.2,113.3,107.7,100.0,103.2,100.3,98.1
Jul 2002,102.9,98.0,106.3,106.8,100.0,100.3,101.6,95.3
Aug 2002,106.5,102.7,108.1,104.2,99.7,104.0,100.4,96.0
Sep 2002,94.3,88.4,95.7,98.1,99.7,99.8,100.4,98.8
Oct 2002,91.8,87.6,95.7,96.0,102.1,99.1,102.2,100.6
Nov 2002,85.5,81.9,81.3,90.0,101.2,94.7,102.0,101.7
Dec 2002,80.2,80.7,76.2,94.6,101.5,95.0,100.7,104.4
Jan 2003,91.3,97.6,83.7,86.2,101.8,100.6,100.1,104.0
Feb 2003,105.1,108.6,98.1,95.4,99.4,100.0,97.3,102.8
Mar 2003,117.7,123.7,113.5,111.9,97.6,100.6,97.2,99.3
Apr 2003,107.9,116.3,111.4,101.4,99.7,101.5,98.4,99.4
May 2003,112.4,108.9,116.2,109.7,99.4,100.8,99.2,99.8
Jun 2003,107.6,104.7,113.9,107.4,99.7,102.7,100.5,97.6
Jul 2003,101.7,97.6,107.0,106.0,100.0,102.4,101.6,95.6
Aug 2003,104.5,103.6,108.0,103.1,98.8,103.4,100.8,96.1
Sep 2003,95.5,88.0,96.1,98.5,100.0,100.3,100.7,98.5
Oct 2003,92.3,89.4,95.9,95.8,101.9,99.5,101.8,100.7
Nov 2003,83.4,81.1,79.9,90.4,100.3,94.9,101.8,101.6
Dec 2003,79.7,81.5,76.8,94.9,101.9,95.6,100.3,104.1
Jan 2004,91.7,97.3,83.1,85.4,100.5,97.0,100.0,104.0
Feb 2004,105.6,107.5,97.4,94.0,98.4,96.6,97.3,103.1
Mar 2004,115.7,123.3,112.1,111.7,98.4,101.6,97.1,100.0
Apr 2004,110.3,117.2,111.7,101.3,99.7,104.9,98.6,99.3
May 2004,111.2,108.9,117.0,112.9,99.0,100.8,99.4,99.5
Jun 2004,106.8,104.7,114.7,107.0,100.5,103.7,100.8,97.2
Jul 2004,105.9,97.1,108.3,105.7,99.3,99.6,101.6,96.0
Aug 2004,104.2,104.0,107.9,102.5,99.8,102.7,101.3,96.2
Sep 2004,92.9,87.0,96.5,98.8,100.7,102.6,101.0,98.4
Oct 2004,92.9,90.8,96.7,96.2,100.2,95.8,101.5,100.7
Nov 2004,85.5,80.3,78.3,91.1,101.2,95.1,101.6,101.5
Dec 2004,80.2,82.3,76.6,94.2,102.1,99.2,99.7,103.8
Jan 2005,91.8,97.5,82.3,84.3,100.0,96.5,99.5,104.0
Feb 2005,99.2,106.7,96.3,93.0,98.4,96.2,97.2,103.1
Mar 2005,114.8,123.3,111.1,111.6,99.1,103.9,97.2,100.7
Apr 2005,110.5,118.2,112.4,101.5,99.1,101.4,98.6,99.1
May 2005,112.0,109.2,117.9,114.5,99.6,102.0,99.7,99.1
Jun 2005,108.3,104.7,115.5,107.7,100.7,106.0,101.1,96.9
Jul 2005,101.1,96.5,109.3,105.3,98.9,99.4,101.7,96.3
Aug 2005,105.2,102.7,108.3,101.6,100.2,102.1,102.0,96.6
Sep 2005,95.5,86.3,97.2,99.4,100.8,103.3,101.4,98.5
Oct 2005,94.3,92.2,96.9,96.7,100.4,95.2,101.3,100.7
Nov 2005,85.0,79.4,76.8,91.7,101.2,95.5,101.2,101.4
Dec 2005,84.3,82.7,76.3,94.1,100.8,96.2,98.8,103.5
Jan 2006,91.0,98.6,81.5,82.7,100.4,97.2,98.8,103.9
Feb 2006,99.5,106.4,95.1,91.8,98.9,97.0,97.3,103.1
Mar 2006,116.1,123.0,110.8,111.6,99.6,104.8,97.3,101.1
Apr 2006,106.9,118.8,113.0,102.7,98.8,101.3,98.7,98.9
May 2006,112.7,109.8,118.2,113.8,99.6,102.5,99.9,98.8
Jun 2006,109.5,105.2,116.3,109.5,100.7,106.9,101.4,96.7
Jul 2006,103.2,96.6,110.0,104.8,99.3,98.7,102.1,96.4
Aug 2006,102.0,101.0,108.5,101.1,100.7,104.3,102.6,96.9
Sep 2006,94.5,85.3,97.7,99.4,100.4,99.7,101.9,98.8
Oct 2006,94.4,92.3,97.6,97.5,100.7,95.6,101.2,100.7
Nov 2006,84.9,79.0,75.8,91.7,100.9,97.8,100.8,101.4
Dec 2006,85.4,83.0,76.0,94.0,100.2,96.6,97.8,103.3
Jan 2007,88.9,99.2,80.8,81.7,100.2,97.4,97.9,103.9
Feb 2007,98.6,106.9,93.8,91.6,99.3,97.5,97.2,103.1
Mar 2007,115.2,123.5,110.4,112.0,99.4,101.4,97.5,101.4
Apr 2007,112.3,119.1,114.0,104.6,98.9,100.6,98.7,98.8
May 2007,112.6,110.1,118.5,111.8,99.8,104.8,100.1,98.4
Jun 2007,110.5,105.1,117.0,110.5,100.2,102.8,101.8,96.6
Jul 2007,104.9,97.2,110.2,104.4,100.2,99.3,102.8,96.3
Aug 2007,103.0,98.8,108.4,99.9,100.9,105.4,103.1,97.2
Sep 2007,92.7,86.4,98.7,99.1,100.0,99.5,102.3,99.1
Oct 2007,94.1,90.8,97.6,97.9,100.8,95.8,101.2,100.7
Nov 2007,84.2,78.6,75.3,92.2,101.0,99.0,100.5,101.5
Dec 2007,85.3,83.4,75.6,94.6,99.8,96.2,96.9,103.2
Jan 2008,84.2,98.9,80.5,81.9,100.2,99.6,97.0,104.0
Feb 2008,97.1,108.3,93.1,91.3,99.6,100.8,97.0,103.3
Mar 2008,109.9,123.4,109.8,112.3,98.9,101.0,97.5,101.5
Apr 2008,109.7,119.8,114.5,106.8,100.0,101.2,98.8,98.6
May 2008,116.7,110.5,118.5,108.8,100.0,102.1,100.3,98.0
Jun 2008,110.9,105.8,117.7,110.8,100.0,101.9,102.1,96.3
Jul 2008,108.2,97.4,110.6,104.4,100.5,101.8,103.5,95.9
Aug 2008,104.8,96.5,107.9,98.5,100.5,102.1,103.4,97.3
Sep 2008,97.0,86.9,99.2,98.2,100.8,99.1,102.7,99.3
Oct 2008,97.7,89.1,98.1,98.9,100.8,99.3,101.4,100.7
Nov 2008,83.3,78.6,75.1,93.0,99.5,95.7,100.3,101.6
Dec 2008,82.8,83.9,75.3,95.2,99.7,97.0,96.2,103.5
Jan 2009,85.7,98.2,80.4,82.8,99.7,97.1,96.3,104.3
Feb 2009,93.5,109.8,92.6,91.9,99.4,97.4,96.6,103.6
Mar 2009,109.7,123.7,108.8,112.0,100.0,101.7,97.5,101.7
Apr 2009,113.9,120.8,115.4,108.0,100.0,103.2,98.9,98.4
May 2009,108.5,110.5,118.6,106.6,99.7,101.9,100.4,97.6
Jun 2009,113.0,106.8,118.1,110.0,100.7,102.4,102.4,96.0
Jul 2009,110.9,96.9,110.3,104.3,100.7,103.0,104.0,95.4
Aug 2009,103.3,93.6,107.5,97.5,100.8,102.0,103.4,97.1
Sep 2009,93.3,88.3,99.7,97.3,100.8,98.8,103.0,99.2
Oct 2009,100.0,87.6,98.3,99.8,100.0,96.2,101.8,100.7
Nov 2009,83.2,78.7,75.4,94.0,99.2,95.4,100.3,101.8
Dec 2009,81.8,84.5,74.8,95.6,99.1,98.9,95.8,104.1
Jan 2010,83.5,97.7,80.7,83.9,99.1,97.1,96.0,104.8
Feb 2010,96.4,111.0,92.5,92.6,99.1,97.4,96.2,104.1
Mar 2010,113.4,123.5,108.2,110.9,100.0,102.1,97.3,102.0
Apr 2010,116.6,121.7,116.1,108.7,99.5,103.5,98.9,98.4
May 2010,111.4,110.8,118.5,106.2,99.5,101.1,100.4,97.0
Jun 2010,110.2,107.9,117.9,109.5,100.5,102.4,102.5,95.5
Jul 2010,110.2,96.5,110.0,103.9,100.5,99.5,104.2,94.6
Aug 2010,97.9,91.5,107.0,96.8,101.5,103.3,103.4,96.9
Sep 2010,94.6,88.6,99.9,96.4,101.5,101.1,103.5,98.9
Oct 2010,94.8,86.4,98.8,100.6,100.0,97.0,102.0,100.6
Nov 2010,83.6,78.7,76.4,94.1,100.0,96.2,100.3,102.1
Dec 2010,84.7,84.8,74.4,95.3,98.9,99.2,95.8,104.9
Jan 2011,82.1,97.5,81.0,84.7,98.9,96.4,95.9,105.3
Feb 2011,97.8,112.3,92.6,94.1,98.9,96.8,95.8,104.8
Mar 2011,112.0,123.6,107.9,109.8,100.0,104.7,97.1,102.4
Apr 2011,116.1,121.8,116.2,108.6,99.4,99.2,98.9,98.6
May 2011,110.2,110.8,118.5,108.2,100.0,101.3,100.3,96.4
Jun 2011,111.6,108.5,117.0,109.0,100.6,104.8,102.5,94.9
Jul 2011,109.5,96.4,109.3,102.9,99.4,99.7,104.3,93.7
Aug 2011,100.3,90.2,107.0,96.5,101.2,104.1,103.3,96.4
Sep 2011,94.7,89.7,100.2,95.8,101.9,102.2,103.8,98.5
Oct 2011,94.9,85.3,98.8,100.4,100.6,97.7,102.1,100.6
Nov 2011,84.1,78.7,77.4,93.5,100.6,96.6,100.3,102.4
Dec 2011,84.5,84.6,73.9,95.3,99.3,94.8,96.2,105.7
Jan 2012,82.4,97.4,81.0,85.1,99.3,96.7,96.0,105.8
Feb 2012,98.4,113.3,93.6,95.3,99.3,97.4,95.3,105.6
Mar 2012,115.3,123.9,108.6,109.2,99.3,102.2,96.9,102.8
Apr 2012,115.3,121.5,115.7,109.1,99.3,98.1,98.7,98.9
May 2012,113.5,110.6,117.7,110.6,100.0,103.5,100.2,95.7
Jun 2012,113.3,108.7,116.4,108.6,100.0,102.0,102.4,94.2
Jul 2012,107.3,96.7,108.7,101.8,100.0,100.1,104.3,92.9
Aug 2012,99.2,89.4,107.1,96.0,101.4,107.8,103.3,95.9
Sep 2012,93.5,89.5,100.1,94.9,101.4,98.9,104.0,98.1
Oct 2012,97.2,85.3,98.9,100.1,101.4,100.0,102.2,100.7
Nov 2012,85.7,79.1,78.5,92.7,100.0,99.9,100.3,102.7
Dec 2012,84.2,84.5,73.6,95.3,98.7,93.3,96.8,106.5
Jan 2013,86.1,95.9,84.2,84.6,99.3,99.2,96.0,106.4
Feb 2013,96.6,108.9,95.2,97.2,98.7,100.2,95.1,106.1
Mar 2013,110.8,119.9,110.1,110.6,98.1,99.8,96.8,102.4
Apr 2013,117.0,119.9,117.3,110.0,98.8,98.1,98.6,99.0
May 2013,112.1,115.4,118.2,112.0,99.4,103.9,99.9,96.0
Jun 2013,109.8,110.0,116.0,109.9,100.0,100.3,102.1,94.1
Jul 2013,105.6,102.5,103.5,101.3,100.6,99.7,104.1,92.0
Aug 2013,97.6,91.9,106.1,95.2,101.1,102.7,103.3,94.8
Sep 2013,92.3,88.8,97.6,92.7,101.1,98.2,104.3,97.9
Oct 2013,97.3,85.7,97.4,99.2,102.2,104.3,101.8,100.9
Nov 2013,86.1,78.8,80.3,92.9,100.5,97.8,100.8,103.0
Dec 2013,85.9,82.1,72.4,93.3,100.0,96.4,97.8,107.4
Jan 2014,89.4,95.4,86.4,86.2,99.5,100.7,96.3,106.9
Feb 2014,100.0,110.6,98.1,97.9,98.9,102.0,95.1,106.3
Mar 2014,115.6,122.8,107.1,111.5,98.4,100.7,96.6,102.1
Apr 2014,116.1,117.6,118.5,109.6,98.9,98.9,98.5,98.9
May 2014,114.4,118.3,119.6,112.6,98.5,101.1,99.7,95.6
Jun 2014,109.1,109.3,111.3,109.0,99.0,100.9,101.5,93.5
Jul 2014,104.5,98.2,108.6,100.7,99.5,100.6,103.7,91.5
Aug 2014,94.7,92.1,102.5,95.5,101.0,100.1,103.3,94.7
Sep 2014,94.5,87.6,93.7,92.3,101.4,98.8,104.2,98.0
Oct 2014,95.8,84.8,98.5,99.2,101.9,104.8,101.4,101.3
Nov 2014,84.2,82.2,83.1,91.4,100.5,94.4,101.3,103.4
Dec 2014,84.5,81.7,71.2,92.6,101.0,97.8,98.6,107.9
Jan 2015,90.9,94.9,89.6,88.1,99.5,98.6,96.5,107.8
Feb 2015,100.0,111.6,98.3,100.1,99.0,99.8,95.4,105.4
Mar 2015,115.0,122.6,107.9,113.4,99.0,102.9,96.8,101.8
Apr 2015,114.7,117.0,122.4,109.3,99.5,100.1,98.6,98.8
May 2015,112.4,118.3,114.8,112.3,98.1,98.1,99.0,95.6
Jun 2015,110.0,109.7,112.0,108.6,100.0,103.0,100.9,92.6
Jul 2015,102.0,98.0,105.6,97.9,100.5,102.3,103.1,92.0
Aug 2015,95.0,92.5,96.7,95.3,101.4,99.5,103.6,94.9
Sep 2015,92.1,88.1,96.2,91.4,101.3,98.4,104.0,98.1
Oct 2015,97.1,84.4,100.9,98.0,100.9,101.9,100.6,101.6
Nov 2015,85.7,80.8,79.8,91.5,101.3,95.4,101.7,103.6
Dec 2015,83.5,82.2,77.0,92.2,101.3,99.5,99.4,108.0
Jan 2016,92.7,95.0,91.0,89.0,99.6,96.5,96.6,108.2
Feb 2016,104.4,109.9,96.3,100.8,98.7,98.1,96.3,105.7
Mar 2016,112.8,119.0,114.9,113.8,99.2,104.4,96.8,101.5
Apr 2016,114.6,115.9,123.2,108.3,98.8,99.4,98.3,98.8
May 2016,111.4,112.9,108.3,109.6,98.8,100.4,99.7,96.1
Jun 2016,107.7,112.0,114.8,109.4,99.6,103.8,100.8,92.7
Jul 2016,103.2,100.1,108.1,98.8,99.2,96.5,102.1,92.6
Aug 2016,96.0,94.4,94.2,96.0,100.8,100.3,103.6,94.9
Sep 2016,94.6,91.3,96.5,92.6,102.1,102.8,103.1,97.7
Oct 2016,96.0,86.3,96.1,98.0,100.4,97.6,100.6,100.9
Nov 2016,84.1,82.0,84.0,91.5,101.6,97.5,102.2,103.2
Dec 2016,83.4,82.5,76.9,91.3,101.2,97.8,99.3,107.5
Jan 2017,93.4,95.9,87.2,90.0,100.8,99.2,97.8,108.4
Feb 2017,101.8,108.8,97.2,101.8,100.0,100.2,97.4,105.5
Mar 2017,113.8,117.3,114.9,114.2,100.0,109.0,96.7,101.2
Apr 2017,111.3,114.8,122.8,107.6,98.1,97.5,98.2,98.9
May 2017,109.1,112.7,107.6,107.4,99.3,101.1,99.5,96.6
Jun 2017,109.8,111.9,113.2,109.9,99.6,108.3,100.4,92.8
Jul 2017,104.2,100.1,103.6,98.7,98.9,96.4,101.8,93.1
Aug 2017,98.2,95.2,99.6,96.4,100.7,100.1,103.0,95.3
Sep 2017,96.5,93.5,97.0,93.4,100.7,98.2,102.4,97.1
Oct 2017,94.1,86.8,95.6,97.9,100.7,98.2,101.1,100.7
Nov 2017,83.6,82.3,83.9,91.2,101.4,97.5,102.2,103.1
Dec 2017,82.1,82.1,76.1,91.1,100.3,95.7,99.4,107.1
Jan 2018,94.4,96.3,88.6,90.6,100.7,100.0,98.3,108.2
Feb 2018,100.6,108.2,97.0,102.1,100.3,100.7,98.1,105.2
Mar 2018,116.5,115.6,116.6,115.0,99.0,104.4,96.7,101.2
Apr 2018,111.2,114.0,115.5,106.9,98.3,98.2,98.6,99.1
May 2018,109.4,112.5,112.8,105.5,99.3,102.4,99.4,97.0
Jun 2018,112.4,111.5,112.8,110.5,99.4,103.7,100.0,93.1
Jul 2018,104.0,100.9,103.6,98.7,99.4,97.8,101.7,93.5
Aug 2018,96.9,95.3,99.9,96.7,100.6,103.6,101.9,95.5
Sep 2018,94.5,95.4,96.9,93.8,99.7,95.6,101.9,96.5
Oct 2018,94.5,86.9,95.9,97.7,100.6,97.6,101.2,100.5
Nov 2018,85.4,82.6,83.3,91.0,101.8,101.1,101.7,102.9
Dec 2018,80.6,82.1,72.1,91.4,100.9,96.3,100.0,106.8
Jan 2019,93.6,96.3,93.9,90.8,101.5,100.8,98.8,108.0
Feb 2019,101.3,107.7,96.6,102.1,100.3,101.4,98.6,105.0
Mar 2019,113.2,114.8,116.0,115.7,98.8,102.2,96.9,101.6
Apr 2019,111.5,112.9,116.1,106.0,99.4,100.4,99.0,99.5
May 2019,108.6,112.1,112.0,104.7,100.0,107.0,98.9,97.3
Jun 2019,111.4,111.4,112.4,111.0,98.5,101.3,99.8,93.3
Jul 2019,103.8,101.6,105.3,98.8,98.8,97.9,101.2,93.7
Aug 2019,101.0,95.7,101.2,96.7,99.7,98.8,101.2,95.6
Sep 2019,95.2,96.6,91.8,94.3,99.4,95.8,102.0,95.9
Oct 2019,93.9,87.2,100.7,97.5,100.3,97.4,101.4,100.3
Nov 2019,85.7,82.6,82.5,91.1,100.6,96.3,101.3,102.7
Dec 2019,80.2,82.1,71.0,91.6,101.6,98.3,100.6,106.5
Jan 2020,93.7,96.2,94.0,90.8,102.2,105.0,98.8,107.8
Feb 2020,103.6,107.7,101.0,101.6,100.3,101.0,98.3,105.1
Mar 2020,113.6,114.0,110.2,116.6,100.0,104.5,97.9,102.0
Apr 2020,107.2,112.4,122.7,105.1,100.0,101.5,99.0,99.8
May 2020,109.1,111.3,111.5,104.5,98.7,100.5,98.5,97.6
Jun 2020,113.0,112.1,106.8,111.3,99.3,103.3,100.6,93.6
Jul 2020,104.9,102.1,111.9,98.8,99.7,102.2,100.7,93.6
Aug 2020,99.5,95.8,95.6,96.6,99.0,96.9,101.0,95.4
Sep 2020,95.2,96.7,97.3,94.8,100.0,97.5,102.3,95.7
Oct 2020,96.6,87.1,101.1,97.1,100.0,96.6,100.9,100.2
Nov 2020,84.6,82.8,76.9,91.3,100.0,94.5,101.4,102.5
Dec 2020,80.2,82.4,75.4,91.9,101.0,98.8,100.5,106.5
Jan 2021,93.1,96.2,94.0,90.8,99.3,98.1,98.6,107.5
Feb 2021,99.8,107.7,95.4,101.0,99.0,98.7,98.1,105.3
Mar 2021,112.5,113.5,111.1,116.8,100.7,104.8,98.0,102.3
Apr 2021,108.5,111.9,121.8,104.1,100.6,105.7,98.6,99.9
,,,,,,,,
Note: Estimates prior to 1999 include an upward adjustment of 3.3 percent made to account for ,,,,,,,,
houses sold and for sale in permit-issuing areas that will never have a permit authorization.,,,,,,,,
