Houses Sold by Type of Financing,,,,,,
,,,,,,
Period,Number of Houses (thousands),,,,,
2011Q4,72,45,13,9,(NA),4
2012Q1,87,53,21,8,(NA),5
2012Q2,103,66,21,9,(NA),7
2012Q3,94,60,16,12,(NA),6
2012Q4,84,55,18,6,(NA),6
2013Q1,109,69,22,11,(NA),7
2013Q2,127,89,19,9,(NA),10
2013Q3,95,66,15,8,(NA),7
2013Q4,98,71,13,7,(NA),7
2014Q1,106,76,14,9,(NA),8
2014Q2,120,83,13,13,(NA),10
2014Q3,107,78,13,8,(NA),8
2014Q4,104,76,10,9,(NA),10
2015Q1,131,91,21,11,(NA),7
2015Q2,140,95,24,13,(NA),8
2015Q3,119,83,18,11,(NA),7
2015Q4,112,79,17,9,(NA),6
2016Q1,134,93,23,11,(NA),7
2016Q2,158,108,27,15,(NA),8
2016Q3,144,106,20,12,(NA),7
2016Q4,125,89,18,11,(NA),7
2017Q1,156,113,22,14,(NA),7
2017Q2,170,121,23,15,(NA),11
2017Q3,142,104,21,10,(NA),7
2017Q4,144,104,18,12,(NA),10
2018Q1,168,124,20,15,(NA),9
2018Q2,179,134,19,12,(NA),13
2018Q3,145,108,20,7,(NA),10
2018Q4,126,94,16,8,(NA),7
2019Q1,174,120,30,15,(NA),9
2019Q2,186,125,35,15,(NA),11
2019Q3,168,117,26,13,(NA),12
2019Q4,154,107,29,10,(NA),8
2020Q1,181,125,32,16,(NA),8
2020Q2,196,131,40,16,(NA),8
2020Q3,243,172,45,16,(NA),10
2020Q4,202,139,37,15,(NA),10
2021Q1,243,174,47,13,(NA),10
,,,,,,
"1Includes houses reporting other types of financing. Beginning in 2008, also includes Rural Housing Service.",,,,,,
,,,,,,
"S   Withheld because estimate did not meet publication standards on the basis of response rate, ",,,,,,
"      associated standard error, or a consistency review.",,,,,,
Z  Less than 500 units or less than 0.5 percent. ,,,,,,
,,,,,,
Note: Estimates prior to 1999 include an upward adjustment of 3.3 percent made to account for ,,,,,,
houses sold in permit-issuing areas that will never have a permit authorization.,,,,,,
