Pending Home Sales,,,,,,,,,,,,,,,,,,,,,,,
United States & Each Region ,,,,,,,,,,,,,,,,,,,,,,,
Monthly: 2001-current,,,,,,,,,,,,,,,,,,,,,,,
(Not Seasonally Adjusted ),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2021,,,,,,,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Division,,,,,,,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Year-to-Year % Change,,,,,,,,,,,,,,,,
2011.00,89.3,67.5,80.8,98.0,101.4,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Monthly,US,NE,MW,S,W,,,,,,,,,,,,,,,,,,
2001.01,86.1,82.0,82.0,88.7,89.7,,,,,,,,,,,,,,,,,,
2001.02,103.3,93.7,96.7,100.7,121.8,,,,,,,,,,,,,,,,,,
2001.03,120.5,112.2,120.8,116.5,133.0,,,,,,,,,,,,,,,,,,
2001.04,123.2,117.3,120.2,114.6,144.8,,,,,,,,,,,,,,,,,,
2001.05,122.8,124.4,125.5,119.8,123.6,,,,,,,,,,,,,,,,,,
2001.06,113.2,114.9,115.5,113.4,109.2,,,,,,,,,,,,,,,,,,
2001.07,107.9,108.1,111.0,109.0,103.0,,,,,,,,,,,,,,,,,,
2001.08,101.0,105.2,106.7,103.1,88.6,,,,,,,,,,,,,,,,,,
2001.09,78.8,82.5,80.6,81.0,70.5,,,,,,,,,,,,,,,,,,
2001.10,91.7,99.2,92.9,95.3,79.0,,,,,,,,,,,,,,,,,,
2001.11,81.2,88.5,82.6,86.0,66.6,,,,,,,,,,,,,,,,,,
2001.12,70.0,72.0,65.8,71.7,70.3,,,,,,,,,,,,,,,,,,
2002.01,90.0,87.7,84.4,92.0,94.7,,4.5%,7.0%,2.9%,3.6%,5.6%,,,,,,,,,,,,
2002.02,102.5,98.0,95.2,96.1,123.6,,-0.8%,4.5%,-1.5%,-4.6%,1.5%,,,,,,,,,,,,
2002.03,118.7,119.2,111.2,112.2,136.8,,-1.4%,6.3%,-7.9%,-3.7%,2.9%,,,,,,,,,,,,
2002.04,131.2,127.9,125.8,120.2,156.7,,6.4%,9.1%,4.7%,4.9%,8.2%,,,,,,,,,,,,
2002.05,120.9,122.5,121.2,117.7,124.4,,-1.6%,-1.6%,-3.4%,-1.8%,0.6%,,,,,,,,,,,,
2002.06,111.7,113.1,114.2,111.3,109.0,,-1.3%,-1.5%,-1.1%,-1.9%,-0.2%,,,,,,,,,,,,
2002.07,112.3,111.5,117.0,111.8,109.0,,4.1%,3.2%,5.4%,2.5%,5.9%,,,,,,,,,,,,
2002.08,104.4,108.0,114.6,105.3,89.4,,3.3%,2.7%,7.5%,2.1%,0.9%,,,,,,,,,,,,
2002.09,93.3,98.3,101.5,90.6,85.0,,18.4%,19.1%,25.9%,11.9%,20.6%,,,,,,,,,,,,
2002.10,94.4,102.5,101.7,91.1,85.9,,3.0%,3.3%,9.5%,-4.4%,8.7%,,,,,,,,,,,,
2002.11,80.0,86.3,83.6,81.9,68.2,,-1.5%,-2.5%,1.2%,-4.8%,2.5%,,,,,,,,,,,,
2002.12,67.2,64.5,65.8,66.5,72.0,,-4.0%,-10.5%,0.1%,-7.3%,2.4%,,,,,,,,,,,,
2003.01,89.6,81.8,84.9,94.4,93.4,,-0.4%,-6.7%,0.6%,2.6%,-1.3%,,,,,,,,,,,,
2003.02,96.0,83.1,94.3,88.4,119.6,,-6.3%,-15.2%,-0.9%,-8.0%,-3.3%,,,,,,,,,,,,
2003.03,120.6,109.6,122.4,117.7,131.9,,1.6%,-8.1%,10.1%,4.9%,-3.6%,,,,,,,,,,,,
2003.04,131.7,117.9,130.6,124.1,155.8,,0.4%,-7.8%,3.8%,3.2%,-0.6%,,,,,,,,,,,,
2003.05,127.0,120.6,131.2,125.7,129.6,,5.1%,-1.5%,8.2%,6.8%,4.2%,,,,,,,,,,,,
2003.06,129.5,123.4,137.0,128.3,128.5,,15.9%,9.1%,20.0%,15.3%,17.9%,,,,,,,,,,,,
2003.07,126.5,115.3,137.0,127.4,122.9,,12.6%,3.4%,17.1%,14.0%,12.7%,,,,,,,,,,,,
2003.08,107.3,103.0,119.9,111.6,90.7,,2.8%,-4.6%,4.6%,6.0%,1.5%,,,,,,,,,,,,
2003.09,99.5,99.1,106.7,101.3,89.3,,6.6%,0.8%,5.2%,11.8%,5.0%,,,,,,,,,,,,
2003.10,103.8,105.1,104.5,106.3,98.3,,9.9%,2.5%,2.8%,16.7%,14.5%,,,,,,,,,,,,
2003.11,83.2,89.0,80.6,88.3,73.4,,4.0%,3.1%,-3.5%,7.8%,7.5%,,,,,,,,,,,,
2003.12,72.0,63.6,68.3,75.3,77.2,,7.1%,-1.3%,3.8%,13.2%,7.2%,,,,,,,,,,,,
2004.01,93.3,83.7,88.6,100.1,95.1,,4.1%,2.4%,4.4%,6.1%,1.8%,,,,,,,,,,,,
2004.02,110.6,99.3,102.3,107.9,132.7,,15.3%,19.5%,8.5%,22.0%,10.9%,,,,,,,,,,,,
2004.03,144.1,137.7,142.4,141.4,155.3,,19.5%,25.6%,16.3%,20.1%,17.7%,,,,,,,,,,,,
2004.04,148.8,132.0,143.4,148.7,167.8,,12.9%,12.0%,9.8%,19.8%,7.7%,,,,,,,,,,,,
2004.05,143.1,131.3,142.2,151.6,139.7,,12.7%,8.9%,8.4%,20.6%,7.8%,,,,,,,,,,,,
2004.06,141.1,133.6,139.3,150.4,134.3,,8.9%,8.3%,1.7%,17.2%,4.6%,,,,,,,,,,,,
2004.07,133.4,118.0,132.9,146.0,126.1,,5.4%,2.3%,-3.0%,14.6%,2.6%,,,,,,,,,,,,
2004.08,125.7,116.5,131.2,137.8,108.1,,17.1%,13.1%,9.5%,23.5%,19.2%,,,,,,,,,,,,
2004.09,113.9,105.9,115.5,120.1,108.9,,14.6%,6.9%,8.3%,18.6%,21.9%,,,,,,,,,,,,
2004.10,114.3,104.6,114.1,122.0,109.8,,10.1%,-0.5%,9.2%,14.8%,11.7%,,,,,,,,,,,,
2004.11,97.4,87.5,97.3,107.9,88.6,,17.1%,-1.6%,20.7%,22.2%,20.7%,,,,,,,,,,,,
2004.12,82.1,66.2,74.1,88.3,93.1,,14.0%,4.0%,8.4%,17.3%,20.6%,,,,,,,,,,,,
2005.01,100.8,83.9,89.5,107.8,115.1,,8.1%,0.2%,1.0%,7.7%,21.1%,,,,,,,,,,,,
2005.02,119.5,98.2,109.9,116.8,150.5,,8.0%,-1.1%,7.4%,8.2%,13.4%,,,,,,,,,,,,
2005.03,148.4,135.0,136.0,148.0,172.5,,3.0%,-2.0%,-4.5%,4.7%,11.1%,,,,,,,,,,,,
2005.04,156.1,139.8,144.1,164.1,169.0,,4.9%,5.9%,0.5%,10.4%,0.7%,,,,,,,,,,,,
2005.05,150.1,141.5,140.6,162.4,147.7,,4.9%,7.8%,-1.1%,7.1%,5.7%,,,,,,,,,,,,
2005.06,150.2,136.6,141.7,163.7,148.5,,6.4%,2.2%,1.7%,8.8%,10.6%,,,,,,,,,,,,
2005.07,134.5,114.9,126.9,153.0,128.8,,0.8%,-2.6%,-4.5%,4.8%,2.2%,,,,,,,,,,,,
2005.08,132.4,114.5,132.2,149.7,119.5,,5.3%,-1.7%,0.8%,8.6%,10.5%,,,,,,,,,,,,
2005.09,116.1,105.0,115.9,126.7,108.6,,1.9%,-0.8%,0.3%,5.5%,-0.3%,,,,,,,,,,,,
2005.10,112.8,98.8,105.6,127.1,109.1,,-1.2%,-5.5%,-7.4%,4.2%,-0.7%,,,,,,,,,,,,
2005.11,92.9,76.9,90.8,107.4,84.6,,-4.6%,-12.1%,-6.7%,-0.5%,-4.5%,,,,,,,,,,,,
2005.12,76.8,57.6,65.9,91.6,80.2,,-6.4%,-13.0%,-11.1%,3.7%,-13.9%,,,,,,,,,,,,
2006.01,98.9,81.2,90.4,110.1,104.0,,-2.0%,-3.2%,1.0%,2.1%,-9.7%,,,,,,,,,,,,
2006.02,112.4,96.4,103.4,116.8,127.4,,-5.9%,-1.8%,-5.9%,0.0%,-15.3%,,,,,,,,,,,,
2006.03,139.4,132.8,123.6,146.2,150.7,,-6.0%,-1.6%,-9.1%,-1.2%,-12.6%,,,,,,,,,,,,
2006.04,135.7,125.8,117.6,151.7,137.3,,-13.1%,-10.0%,-18.4%,-7.6%,-18.7%,,,,,,,,,,,,
2006.05,136.8,129.6,123.2,153.1,131.4,,-8.8%,-8.4%,-12.4%,-5.7%,-11.0%,,,,,,,,,,,,
2006.06,135.5,122.8,125.5,156.4,123.2,,-9.8%,-10.1%,-11.4%,-4.5%,-17.0%,,,,,,,,,,,,
2006.07,115.1,97.3,103.7,137.6,105.7,,-14.4%,-15.3%,-18.3%,-10.1%,-17.9%,,,,,,,,,,,,
2006.08,114.1,101.7,105.8,134.7,100.2,,-13.8%,-11.2%,-20.0%,-10.0%,-16.1%,,,,,,,,,,,,
2006.09,97.1,84.4,91.2,113.6,87.1,,-16.4%,-19.6%,-21.3%,-10.3%,-19.7%,,,,,,,,,,,,
2006.10,99.4,88.4,92.4,115.0,91.0,,-11.9%,-10.5%,-12.5%,-9.5%,-16.6%,,,,,,,,,,,,
2006.11,84.4,68.3,80.1,101.8,74.2,,-9.1%,-11.2%,-11.8%,-5.2%,-12.3%,,,,,,,,,,,,
2006.12,72.0,54.9,61.5,86.8,73.3,,-6.3%,-4.7%,-6.7%,-5.2%,-8.6%,,,,,,,,,,,,
2007.01,90.7,78.4,81.2,98.0,98.9,,-8.3%,-3.4%,-10.2%,-11.0%,-4.9%,,,,,,,,,,,,
2007.02,102.9,88.4,93.1,109.2,114.7,,-8.4%,-8.3%,-10.0%,-6.5%,-10.0%,,,,,,,,,,,,
2007.03,123.6,118.9,110.6,131.1,129.2,,-11.4%,-10.5%,-10.5%,-10.3%,-14.3%,,,,,,,,,,,,
2007.04,124.9,109.4,118.0,137.8,124.3,,-7.9%,-13.0%,0.3%,-9.2%,-9.5%,,,,,,,,,,,,
2007.05,118.9,119.4,108.2,129.0,113.9,,-13.1%,-7.9%,-12.2%,-15.7%,-13.3%,,,,,,,,,,,,
2007.06,120.3,115.7,110.9,134.4,111.9,,-11.2%,-5.8%,-11.6%,-14.1%,-9.2%,,,,,,,,,,,,
2007.07,100.2,91.3,90.3,121.5,84.4,,-12.9%,-6.2%,-12.9%,-11.7%,-20.2%,,,,,,,,,,,,
2007.08,90.2,82.6,87.4,106.4,73.8,,-20.9%,-18.8%,-17.4%,-21.0%,-26.4%,,,,,,,,,,,,
2007.09,76.8,64.1,79.2,89.1,64.7,,-20.9%,-24.1%,-13.2%,-21.6%,-25.7%,,,,,,,,,,,,
2007.1,84.6,78.0,82.2,93.4,78.6,,-14.9%,-11.8%,-11.0%,-18.8%,-13.6%,,,,,,,,,,,,
2007.11,68.4,56.0,67.2,81.3,59.2,,-18.9%,-18.0%,-16.1%,-20.1%,-20.2%,,,,,,,,,,,,
2007.12,54.8,39.9,51.0,63.8,56.2,,-23.9%,-27.3%,-17.1%,-26.5%,-23.3%,,,,,,,,,,,,
2008.01,72.8,55.7,69.7,74.5,86.5,,-19.8%,-29.0%,-14.2%,-24.0%,-12.5%,,,,,,,,,,,,
2008.02,84.4,70.5,80.9,79.5,106.8,,-18.0%,-20.2%,-13.1%,-27.2%,-6.9%,,,,,,,,,,,,
2008.03,96.8,97.1,84.9,94.0,113.5,,-21.7%,-18.3%,-23.2%,-28.3%,-12.1%,,,,,,,,,,,,
2008.04,109.9,98.5,100.8,108.7,130.2,,-12.1%,-10.0%,-14.6%,-21.1%,4.8%,,,,,,,,,,,,
2008.05,101.4,98.3,93.4,101.7,111.7,,-14.7%,-17.7%,-13.7%,-21.2%,-1.9%,,,,,,,,,,,,
2008.06,106.3,97.5,97.3,113.1,112.0,,-11.7%,-15.7%,-12.3%,-15.8%,0.1%,,,,,,,,,,,,
2008.07,94.1,79.3,87.5,105.7,94.3,,-6.1%,-13.1%,-3.1%,-13.0%,11.8%,,,,,,,,,,,,
2008.08,93.7,80.1,88.9,102.4,95.8,,3.9%,-3.0%,1.7%,-3.8%,29.9%,,,,,,,,,,,,
2008.09,81.6,63.7,81.8,82.4,94.0,,6.3%,-0.6%,3.3%,-7.5%,45.3%,,,,,,,,,,,,
2008.1,80.6,66.5,76.0,82.5,93.5,,-4.8%,-14.7%,-7.5%,-11.7%,18.9%,,,,,,,,,,,,
2008.11,61.0,43.6,57.1,68.3,67.1,,-10.9%,-22.1%,-15.0%,-16.0%,13.3%,,,,,,,,,,,,
2008.12,58.0,37.8,51.5,65.1,69.3,,5.8%,-5.3%,1.0%,2.0%,23.2%,,,,,,,,,,,,
2009.01,67.9,44.1,59.5,67.7,95.4,,-6.7%,-20.8%,-14.6%,-9.1%,10.3%,,,,,,,,,,,,
2009.02,78.9,59.0,79.4,78.2,94.9,,-6.6%,-16.3%,-1.9%,-1.7%,-11.2%,,,,,,,,,,,,
2009.03,98.8,77.8,95.4,102.4,113.2,,2.1%,-19.9%,12.3%,8.9%,-0.3%,,,,,,,,,,,,
2009.04,113.7,97.3,111.2,114.7,127.4,,3.4%,-1.2%,10.3%,5.5%,-2.2%,,,,,,,,,,,,
2009.05,106.8,103.5,101.4,108.6,112.3,,5.4%,5.3%,8.6%,6.8%,0.6%,,,,,,,,,,,,
2009.06,116.1,106.9,112.2,125.9,112.0,,9.2%,9.6%,15.3%,11.3%,0.0%,,,,,,,,,,,,
2009.07,106.1,84.6,95.1,118.8,114.6,,12.8%,6.7%,8.7%,12.4%,21.5%,,,,,,,,,,,,
2009.08,104.5,88.6,95.2,111.4,115.9,,11.5%,10.6%,7.1%,8.8%,21.0%,,,,,,,,,,,,
2009.09,97.6,72.4,94.2,99.0,118.4,,19.6%,13.7%,15.2%,20.1%,25.9%,,,,,,,,,,,,
2009.1,104.2,92.6,102.4,108.1,109.1,,29.3%,39.2%,34.7%,31.0%,16.8%,,,,,,,,,,,,
2009.11,72.2,52.9,65.7,78.8,83.9,,18.5%,21.3%,15.1%,15.4%,25.1%,,,,,,,,,,,,
2009.12,63.3,42.4,55.5,68.2,79.9,,9.1%,12.2%,7.8%,4.8%,15.3%,,,,,,,,,,,,
2010.01,73.8,52.5,64.1,77.5,94.6,,8.7%,19.0%,7.7%,14.5%,-0.8%,,,,,,,,,,,,
2010.02,92.8,70.1,94.0,92.2,110.2,,17.7%,18.8%,18.4%,18.0%,16.2%,,,,,,,,,,,,
2010.03,123.9,101.4,116.1,136.3,130.3,,25.4%,30.4%,21.7%,33.1%,15.1%,,,,,,,,,,,,
2010.04,140.7,124.8,134.4,152.3,141.4,,23.8%,28.3%,20.9%,32.8%,11.1%,,,,,,,,,,,,
2010.05,90.1,87.0,81.2,93.9,96.2,,-15.6%,-15.9%,-19.9%,-13.5%,-14.4%,,,,,,,,,,,,
2010.06,92.6,78.9,79.1,106.1,96.2,,-20.3%,-26.2%,-29.5%,-15.7%,-14.1%,,,,,,,,,,,,
2010.07,84.2,65.5,69.3,99.3,90.6,,-20.7%,-22.6%,-27.1%,-16.4%,-21.0%,,,,,,,,,,,,
2010.08,85.3,66.0,72.3,97.8,94.4,,-18.4%,-25.5%,-24.1%,-12.2%,-18.5%,,,,,,,,,,,,
2010.09,73.2,50.1,62.9,80.5,90.5,,-25.0%,-30.8%,-33.2%,-18.7%,-23.6%,,,,,,,,,,,,
2010.10,80.4,66.6,74.9,85.1,89.8,,-22.8%,-28.1%,-26.9%,-21.3%,-17.7%,,,,,,,,,,,,
2010.11,70.0,51.7,62.7,74.8,84.3,,-3.1%,-2.3%,-4.6%,-5.1%,0.5%,,,,,,,,,,,,
2010.12,61.1,40.3,52.8,69.6,72.7,,-3.4%,-5.0%,-4.9%,2.1%,-9.0%,,,,,,,,,,,,
2011.01,70.5,47.9,60.2,75.4,91.1,,-4.5%,-8.8%,-6.1%,-2.7%,-3.7%,,,,,,,,,,,,
2011.02,83.2,57.1,79.3,86.5,102.5,,-10.4%,-18.5%,-15.7%,-6.2%,-7.0%,,,,,,,,,,,,
2011.03,108.1,82.4,96.2,122.4,118.3,,-12.7%,-18.7%,-17.1%,-10.2%,-9.2%,,,,,,,,,,,,
2011.04,103.7,86.4,95.6,111.6,113.3,,-26.3%,-30.8%,-28.9%,-26.7%,-19.9%,,,,,,,,,,,,
2011.05,104.1,94.3,98.0,108.9,110.6,,15.4%,8.4%,20.7%,16.0%,14.9%,,,,,,,,,,,,
2011.06,108.6,89.4,96.6,124.5,111.1,,17.3%,13.3%,22.1%,17.3%,15.5%,,,,,,,,,,,,
2011.07,92.5,69.1,78.9,106.9,102.5,,9.9%,5.5%,13.9%,7.7%,13.2%,,,,,,,,,,,,
2011.08,96.3,71.2,82.7,108.7,110.5,,12.8%,7.9%,14.4%,11.1%,17.0%,,,,,,,,,,,,
2011.09,79.0,51.4,71.1,84.9,99.3,,7.9%,2.6%,13.0%,5.5%,9.7%,,,,,,,,,,,,
2011.10,86.3,67.6,83.0,91.8,95.8,,7.3%,1.5%,10.8%,7.9%,6.6%,,,,,,,,,,,,
2011.11,75.0,53.1,69.7,81.6,87.3,,7.2%,2.7%,11.2%,9.1%,3.5%,,,,,,,,,,,,
2011.12,63.8,39.8,58.5,72.7,74.3,,4.5%,-1.2%,10.8%,4.5%,2.2%,,,,,,,,,,,,
2012.01,77.7,54.7,69.9,84.6,92.9,,10.2%,14.2%,16.1%,12.2%,1.9%,,,,,,,,,,,,
2012.02,95.1,71.1,97.6,98.6,105.8,,14.3%,24.5%,23.1%,14.0%,3.2%,,,,,,,,,,,,
2012.03,119.3,97.6,110.3,132.5,125.1,,10.4%,18.4%,14.7%,8.3%,5.7%,,,,,,,,,,,,
2012.04,119.2,103.6,117.3,125.6,123.5,,15.0%,19.9%,22.7%,12.5%,9.0%,,,,,,,,,,,,
2012.05,119.3,112.5,115.2,125.9,118.5,,14.6%,19.3%,17.6%,15.6%,7.1%,,,,,,,,,,,,
2012.06,117.6,101.4,112.8,133.8,109.8,,8.3%,13.4%,16.8%,7.5%,-1.2%,,,,,,,,,,,,
2012.07,106.8,81.0,98.1,125.5,106.5,,15.4%,17.2%,24.3%,17.4%,3.9%,,,,,,,,,,,,
2012.08,106.3,84.0,98.0,122.1,107.5,,10.4%,18.0%,18.5%,12.3%,-2.7%,,,,,,,,,,,,
2012.09,86.3,61.1,80.4,97.5,94.5,,9.3%,18.9%,13.1%,14.8%,-4.8%,,,,,,,,,,,,
2012.10,102.1,81.7,104.9,110.9,101.3,,18.3%,20.9%,26.4%,20.8%,5.8%,,,,,,,,,,,,
2012.11,82.2,60.8,80.6,91.6,85.6,,9.5%,14.5%,15.6%,12.3%,-1.9%,,,,,,,,,,,,
2012.12,66.9,42.4,64.8,78.8,69.3,,4.7%,6.5%,10.8%,8.4%,-6.7%,,,,,,,,,,,,
2013.01,85.0,60.3,81.0,95.8,91.4,,9.4%,10.2%,15.9%,13.2%,-1.6%,,,,,,,,,,,,
2013.02,98.5,73.2,107.2,105.1,98.7,,3.5%,3.0%,9.8%,6.6%,-6.8%,,,,,,,,,,,,
2013.03,125.8,103.0,124.0,144.8,115.5,,5.4%,5.5%,12.4%,9.3%,-7.6%,,,,,,,,,,,,
2013.04,133.8,125.9,136.6,143.8,121.3,,12.2%,21.5%,16.5%,14.5%,-1.7%,,,,,,,,,,,,
2013.05,132.4,122.7,140.2,138.6,122.0,,11.0%,9.1%,21.7%,10.1%,3.0%,,,,,,,,,,,,
2013.06,128.6,109.3,130.7,144.6,116.5,,9.4%,7.8%,15.9%,8.1%,6.1%,,,,,,,,,,,,
2013.07,115.9,85.1,113.4,136.5,110.0,,8.5%,5.1%,15.6%,8.8%,3.3%,,,,,,,,,,,,
2013.08,109.7,85.5,108.6,125.2,105.3,,3.2%,1.8%,10.8%,2.5%,-2.0%,,,,,,,,,,,,
2013.09,88.4,64.5,87.9,99.5,89.9,,2.4%,5.6%,9.3%,2.1%,-4.9%,,,,,,,,,,,,
2013.1,99.7,85.6,107.5,108.6,88.2,,-2.4%,4.8%,2.5%,-2.1%,-12.9%,,,,,,,,,,,,
2013.11,78.7,61.2,78.9,89.8,74.5,,-4.3%,0.7%,-2.1%,-2.0%,-13.0%,,,,,,,,,,,,
2013.12,62.8,41.8,63.3,74.6,59.9,,-6.1%,-1.4%,-2.3%,-5.3%,-13.5%,,,,,,,,,,,,
2014.01,77.4,57.6,73.2,89.5,78.0,,-9.0%,-4.5%,-9.6%,-6.6%,-14.6%,,,,,,,,,,,,
2014.02,88.6,68.2,98.3,95.8,83.0,,-10.0%,-6.8%,-8.3%,-8.8%,-15.8%,,,,,,,,,,,,
2014.03,116.6,96.1,111.0,138.3,104.2,,-7.3%,-6.7%,-10.5%,-4.5%,-9.8%,,,,,,,,,,,,
2014.04,121.4,109.8,125.8,134.5,105.0,,-9.3%,-12.8%,-7.9%,-6.5%,-13.4%,,,,,,,,,,,,
2014.05,123.4,120.3,128.3,132.7,106.1,,-6.8%,-2.0%,-8.5%,-4.3%,-13.0%,,,,,,,,,,,,
2014.06,123.1,110.1,125.7,140.4,103.2,,-4.3%,0.7%,-3.8%,-2.9%,-11.4%,,,,,,,,,,,,
2014.07,112.9,90.4,105.5,134.7,104.1,,-2.5%,6.2%,-7.0%,-1.3%,-5.4%,,,,,,,,,,,,
2014.08,105.4,85.9,98.6,122.6,100.9,,-3.9%,0.5%,-9.2%,-2.1%,-4.2%,,,,,,,,,,,,
2014.09,91.5,68.4,86.7,104.3,94.4,,3.6%,6.0%,-1.4%,4.8%,5.0%,,,,,,,,,,,,
2014.10,101.6,89.0,103.8,111.7,93.3,,2.0%,4.0%,-3.4%,2.9%,5.7%,,,,,,,,,,,,
2014.11,80.0,62.7,76.2,93.1,76.8,,1.7%,2.5%,-3.4%,3.7%,3.1%,,,,,,,,,,,,
2014.12,67.6,45.3,65.6,81.5,65.3,,7.7%,8.4%,3.6%,9.2%,9.0%,,,,,,,,,,,,
2015.01,82.1,59.5,74.5,97.8,83.0,,6.1%,3.3%,1.8%,9.3%,6.4%,,,,,,,,,,,,
2015.02,99.7,70.7,111.6,107.3,97.8,,12.5%,3.7%,13.5%,12.0%,17.8%,,,,,,,,,,,,
2015.03,132.3,100.4,128.5,157.2,121.9,,13.5%,4.5%,15.8%,13.7%,17.0%,,,,,,,,,,,,
2015.04,136.7,117.5,139.3,153.5,122.6,,12.6%,7.0%,10.7%,14.1%,16.7%,,,,,,,,,,,,
2015.05,133.2,131.6,136.0,142.9,116.4,,7.9%,9.4%,6.0%,7.7%,9.7%,,,,,,,,,,,,
2015.06,136.8,128.6,136.2,154.9,115.3,,11.1%,16.8%,8.4%,10.3%,11.7%,,,,,,,,,,,,
2015.07,121.0,101.5,111.2,141.9,113.7,,7.2%,12.3%,5.4%,5.3%,9.2%,,,,,,,,,,,,
2015.08,112.4,92.8,104.7,129.0,110.0,,6.6%,8.0%,6.2%,5.2%,9.0%,,,,,,,,,,,,
2015.09,94.4,70.3,89.5,105.6,100.5,,3.2%,2.8%,3.2%,1.2%,6.5%,,,,,,,,,,,,
2015.10,104.0,94.1,105.3,111.0,99.3,,2.3%,5.7%,1.4%,-0.6%,6.4%,,,,,,,,,,,,
2015.11,83.9,68.0,81.5,94.3,82.6,,4.9%,8.5%,7.0%,1.3%,7.6%,,,,,,,,,,,,
2015.12,69.7,51.2,67.5,82.2,66.7,,3.1%,13.0%,2.9%,0.9%,2.2%,,,,,,,,,,,,
2016.01,80.9,64.9,74.1,93.4,80.9,,-1.5%,9.1%,-0.5%,-4.5%,-2.5%,,,,,,,,,,,,
2016.02,104.7,83.1,119.6,110.5,96.8,,5.0%,17.5%,7.2%,3.0%,-1.0%,,,,,,,,,,,,
2016.03,136.5,119.2,135.3,159.6,114.9,,3.2%,18.7%,5.3%,1.5%,-5.7%,,,,,,,,,,,,
2016.04,139.1,129.6,140.3,154.4,121.4,,1.8%,10.3%,0.7%,0.6%,-1.0%,,,,,,,,,,,,
2016.05,136.4,135.2,138.5,146.8,118.9,,2.4%,2.7%,1.8%,2.7%,2.1%,,,,,,,,,,,,
2016.06,135.9,127.3,135.4,153.7,115.2,,-0.7%,-1.0%,-0.6%,-0.8%,-0.1%,,,,,,,,,,,,
2016.07,118.1,99.3,105.9,138.3,114.0,,-2.4%,-2.2%,-4.8%,-2.5%,0.3%,,,,,,,,,,,,
2016.08,116.8,103.6,108.2,130.7,114.4,,3.9%,11.6%,3.3%,1.3%,4.0%,,,,,,,,,,,,
2016.09,96.3,75.6,88.7,106.1,104.9,,2.0%,7.5%,-0.9%,0.5%,4.4%,,,,,,,,,,,,
2016.10,104.2,95.8,104.4,110.5,100.5,,0.2%,1.8%,-0.9%,-0.5%,1.2%,,,,,,,,,,,,
2016.11,85.1,74.0,80.9,94.9,82.6,,1.4%,8.8%,-0.7%,0.6%,0.0%,,,,,,,,,,,,
2016.12,68.3,49.6,63.6,80.9,68.0,,-2.0%,-3.1%,-5.8%,-1.6%,1.9%,,,,,,,,,,,,
2017.01,83.1,68.7,74.0,97.2,81.9,,2.7%,5.9%,-0.1%,4.1%,1.2%,,,,,,,,,,,,
2017.02,102.2,84.3,113.2,110.4,91.5,,-2.4%,1.4%,-5.4%,-0.1%,-5.5%,,,,,,,,,,,,
