Mean Sales Price of Existing Homes,,,,,,,,,,,
United States and Each Region ,,,,,,,,,,,
"Annual and monthly, 1999 to current",,,,,,,,,,,
(Not Seasonally Adjusted),,,,,,,,,,,
Existing Home Sales Program © 2021,,,,,,,,,,,
National Association of REALTORS ® Research Division,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,Year over Year % Change,,,,
2011.03,"207,300","270,200","158,700","182,100","247,700",,-3.4%,-1.6%,-2.7%,-3.4%,-5.9%
2011.04,"210,200","275,800","164,500","186,100","244,000",,-3.3%,-0.6%,-1.0%,-2.2%,-7.4%
2011.05,"217,600","281,500","169,700","192,400","257,900",,-1.5%,3.8%,-3.1%,-1.8%,-4.8%
2011.06,"226,000","295,000","178,800","203,200","258,900",,-1.7%,1.3%,-4.0%,-0.9%,-3.0%
2011.07,"220,400","287,000","178,700","198,700","246,100",,-4.9%,-3.7%,-3.6%,-1.7%,-10.3%
2011.08,"219,500","283,300","174,400","193,400","258,900",,-2.8%,-2.9%,-3.8%,-1.8%,-3.1%
2011.09,"212,800","271,100","165,800","186,000","259,500",,-2.4%,-0.9%,-3.0%,-2.2%,-3.0%
2011.10,"205,900","259,300","160,400","181,300","250,300",,-5.7%,-5.8%,-6.5%,-5.3%,-4.6%
2011.11,"210,400","274,700","162,200","184,500","250,300",,-3.5%,-1.8%,-5.6%,-2.7%,-5.3%
2011.12,"209,500","262,000","158,700","188,600","252,600",,-3.9%,-6.3%,-8.9%,-2.4%,-1.3%
2012.01,"200,900","266,500","150,700","175,700","240,600",,-2.4%,-2.3%,-5.9%,-2.1%,-0.1%
2012.02,"201,600","263,300","147,900","178,200","245,500",,-0.3%,-1.8%,-3.9%,0.1%,2.8%
2012.03,"212,100","269,000","160,200","189,400","256,100",,2.3%,-0.4%,0.9%,4.0%,3.4%
2012.04,"221,700","273,800","168,900","198,100","272,300",,5.5%,-0.7%,2.7%,6.4%,11.6%
2012.05,"229,600","280,200","178,100","206,400","278,400",,5.5%,-0.5%,4.9%,7.3%,7.9%
2012.06,"238,200","294,600","190,000","212,100","283,500",,5.4%,-0.1%,6.3%,4.4%,9.5%
2012.07,"236,100","291,800","186,000","206,900","288,600",,7.1%,1.7%,4.1%,4.1%,17.3%
2012.08,"233,100","288,200","183,800","202,500","287,700",,6.2%,1.7%,5.4%,4.7%,11.1%
2012.09,"226,600","274,900","176,300","193,300","291,100",,6.5%,1.4%,6.3%,3.9%,12.2%
2012.10,"224,500","269,600","172,100","194,200","290,700",,9.0%,4.0%,7.3%,7.1%,16.1%
2012.11,"227,900","270,100","172,300","201,400","292,500",,8.3%,-1.7%,6.2%,9.2%,16.9%
2012.12,"230,600","273,000","172,400","205,400","294,900",,10.1%,4.2%,8.6%,8.9%,16.7%
2013.01,"218,300","267,700","159,200","189,800","285,700",,8.7%,0.5%,5.6%,8.0%,18.7%
2013.02,"220,900","274,000","159,100","194,200","285,700",,9.6%,4.1%,7.6%,9.0%,16.4%
2013.03,"233,100","277,600","170,800","206,600","303,400",,9.9%,3.2%,6.6%,9.1%,18.5%
2013.04,"241,700","286,400","180,000","214,600","312,600",,9.0%,4.6%,6.6%,8.3%,14.8%
2013.05,"251,100","296,900","191,500","224,200","319,300",,9.4%,6.0%,7.5%,8.6%,14.7%
2013.06,"261,000","305,400","203,900","235,200","324,700",,9.6%,3.7%,7.3%,10.9%,14.5%
2013.07,"259,000","303,200","202,600","229,100","328,400",,9.7%,3.9%,8.9%,10.7%,13.8%
2013.08,"256,600","304,300","198,600","224,600","329,100",,10.1%,5.6%,8.1%,10.9%,14.4%
2013.09,"246,300","279,900","188,400","216,200","325,900",,8.7%,1.8%,6.9%,11.8%,12.0%
2013.10,"245,000","284,000","185,400","213,100","325,300",,9.1%,5.3%,7.7%,9.7%,11.9%
2013.11,"243,600","283,000","182,200","211,600","325,700",,6.9%,4.8%,5.7%,5.1%,11.4%
2013.12,"246,700","281,200","185,800","218,300","325,600",,7.0%,3.0%,7.8%,6.3%,10.4%
2014.01,"236,600","282,500","173,100","203,100","316,600",,8.4%,5.5%,8.7%,7.0%,10.8%
2014.02,"236,600","275,000","170,100","206,700","321,500",,7.1%,0.4%,6.9%,6.4%,12.5%
2014.03,"244,800","283,800","179,200","216,000","326,400",,5.0%,2.2%,4.9%,4.5%,7.6%
2014.04,"250,700","286,500","188,100","220,600","333,400",,3.7%,0.0%,4.5%,2.8%,6.7%
2014.05,"259,400","296,700","198,500","230,300","336,900",,3.3%,-0.1%,3.7%,2.7%,5.5%
2014.06,"268,100","308,300","212,800","237,500","339,800",,2.7%,0.9%,4.4%,1.0%,4.7%
2014.07,"267,500","310,800","209,900","235,700","341,600",,3.3%,2.5%,3.6%,2.9%,4.0%
2014.08,"263,800","302,500","210,100","229,500","340,500",,2.8%,-0.6%,5.8%,2.2%,3.5%
2014.09,"255,000","286,600","197,600","224,100","337,200",,3.5%,2.4%,4.9%,3.7%,3.5%
2014.10,"254,100","286,400","196,000","222,100","337,900",,3.7%,0.8%,5.7%,4.2%,3.9%
2014.11,"253,800","288,400","193,700","222,000","337,300",,4.2%,1.9%,6.3%,4.9%,3.6%
2014.12,"254,700","283,900","193,300","227,700","336,900",,3.2%,1.0%,4.0%,4.3%,3.5%
2015.01,"245,800","284,600","183,900","213,900","329,800",,3.9%,0.7%,6.2%,5.3%,4.2%
2015.02,"247,800","283,600","184,900","219,400","330,200",,4.7%,3.1%,8.7%,6.1%,2.7%
2015.03,"256,300","281,900","195,000","228,800","342,400",,4.7%,-0.7%,8.8%,5.9%,4.9%
2015.04,"263,900","294,400","201,400","234,300","349,700",,5.3%,2.8%,7.1%,6.2%,4.9%
2015.05,"273,000","306,100","212,600","242,700","355,400",,5.2%,3.2%,7.1%,5.4%,5.5%
2015.06,"280,200","315,800","222,500","249,000","359,500",,4.5%,2.4%,4.6%,4.8%,5.8%
2015.07,"275,800","311,000","217,800","243,400","358,500",,3.1%,0.1%,3.8%,3.3%,4.9%
2015.08,"271,300","307,700","214,300","237,700","353,200",,2.8%,1.7%,2.0%,3.6%,3.7%
2015.09,"265,100","294,400","207,200","232,500","353,700",,4.0%,2.7%,4.9%,3.7%,4.9%
2015.10,"262,800","290,100","202,900","229,500","354,200",,3.4%,1.3%,3.5%,3.3%,4.8%
2015.11,"263,800","292,600","202,500","232,300","352,600",,3.9%,1.5%,4.5%,4.6%,4.5%
2015.12,"266,100","295,100","203,200","236,000","355,500",,4.5%,3.9%,5.1%,3.6%,5.5%
2016.01,"257,700","288,200","196,800","225,400","348,000",,4.8%,1.3%,7.0%,5.4%,5.5%
2016.02,"255,300","279,900","191,700","225,900","347,300",,3.0%,-1.3%,3.7%,3.0%,5.2%
2016.03,"264,300","292,400","202,500","232,700","356,000",,3.1%,3.7%,3.8%,1.7%,4.0%
2016.04,"273,600","300,000","211,100","242,400","365,600",,3.7%,1.9%,4.8%,3.5%,4.5%
2016.05,"280,900","305,400","220,800","250,100","371,700",,2.9%,-0.2%,3.9%,3.0%,4.6%
2016.06,"289,800","318,300","231,000","257,900","377,200",,3.4%,0.8%,3.8%,3.6%,4.9%
2016.07,"284,900","314,200","226,000","251,800","373,700",,3.3%,1.0%,3.8%,3.5%,4.2%
2016.08,"282,000","310,100","223,100","247,800","373,800",,3.9%,0.8%,4.1%,4.2%,5.8%
2016.09,"277,000","300,800","216,800","243,800","372,400",,4.5%,2.2%,4.6%,4.9%,5.3%
2016.10,"275,500","294,200","212,500","244,000","374,700",,4.8%,1.4%,4.7%,6.3%,5.8%
2016.11,"276,700","299,600","212,200","245,300","373,500",,4.9%,2.4%,4.8%,5.6%,5.9%
2016.12,"274,900","294,800","210,200","246,000","370,300",,3.3%,-0.1%,3.4%,4.2%,4.2%
2017.01,"269,500","293,900","205,500","238,800","364,300",,4.6%,2.0%,4.4%,5.9%,4.7%
2017.02,"269,600","290,700","202,100","240,800","367,000",,5.6%,3.9%,5.4%,6.6%,5.7%
2017.03,"278,700","300,400","214,400","248,500","375,000",,5.4%,2.7%,5.9%,6.8%,5.3%
2017.04,"287,800","306,500","225,700","257,200","383,400",,5.2%,2.2%,6.9%,6.1%,4.9%
2017.05,"294,300","317,000","232,800","262,100","390,000",,4.8%,3.8%,5.4%,4.8%,4.9%
2017.06,"303,500","329,700","242,600","270,500","396,800",,4.7%,3.6%,5.0%,4.9%,5.2%
2017.07,"298,800","324,300","236,900","265,300","394,100",,4.9%,3.2%,4.8%,5.4%,5.5%
2017.08,"294,400","321,400","232,700","257,200","394,900",,4.4%,3.6%,4.3%,3.8%,5.6%
2017.09,"289,600","311,700","226,200","253,100","393,800",,4.5%,3.6%,4.3%,3.8%,5.7%
2017.10,"287,600","308,900","222,500","249,700","396,300",,4.4%,5.0%,4.7%,2.3%,5.8%
2017.11,"289,500","312,300","224,300","253,300","395,000",,4.6%,4.2%,5.7%,3.3%,5.8%
2017.12,"288,300","303,800","222,900","254,700","394,700",,4.9%,3.1%,6.0%,3.5%,6.6%
2018.01,"282,600","308,100","218,000","245,400","386,900",,4.9%,4.8%,6.1%,2.8%,6.2%
2018.02,"280,600","301,800","209,500","247,400","390,000",,4.1%,3.8%,3.7%,2.7%,6.3%
2018.03,"289,900","306,600","222,000","257,400","397,500",,4.0%,2.1%,3.5%,3.6%,6.0%
2018.04,"297,800","312,600","230,600","263,900","406,600",,3.5%,2.0%,2.2%,2.6%,6.1%
2018.05,"303,700","320,400","237,500","270,500","409,500",,3.2%,1.1%,2.0%,3.2%,5.0%
2018.06,"311,900","338,100","245,900","275,900","414,500",,2.8%,2.5%,1.4%,2.0%,4.5%
2018.07,"307,600","339,000","239,300","269,500","411,000",,2.9%,4.5%,1.0%,1.6%,4.3%
2018.08,"304,000","336,300","235,700","264,000","410,600",,3.3%,4.6%,1.3%,2.6%,4.0%
2018.09,"296,000","320,400","228,100","258,200","406,000",,2.2%,2.8%,0.8%,2.0%,3.1%
2018.10,"293,900","317,100","226,100","256,500","402,900",,2.2%,2.7%,1.6%,2.7%,1.7%
2018.11,"296,100","322,900","226,900","259,100","404,400",,2.3%,3.4%,1.2%,2.3%,2.4%
2018.12,"293,800","317,900","221,800","260,400","402,000",,1.9%,4.6%,-0.5%,2.2%,1.8%
2019.01,"288,200","316,300","219,000","250,200","397,300",,2.0%,2.7%,0.5%,2.0%,2.7%
