Existing Single-Family Home Sales,,,,,,,,,,,,,,,,,
United States and Each Region ,,,,,,,,,,,,,,,,,
"Annual and monthly, 1989 to current",,,,,,,,,,,,,,,,,
(Seasonally Adjusted Annual Rate),,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2021,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Division,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,Year over Year % Change,,,,,,Month over Month % Change,,,,
,,,,,,,,,,,,,,,,,
1989.01,"3,260,000","620,000","850,000","1,090,000","700,000",,,,,,,,,,,,
1989.02,"3,170,000","590,000","850,000","1,060,000","660,000",,,,,,,,-2.8%,-4.8%,0.0%,-2.8%,-5.7%
1989.03,"2,990,000","570,000","770,000","1,010,000","640,000",,,,,,,,-5.7%,-3.4%,-9.4%,-4.7%,-3.0%
1989.04,"2,870,000","560,000","790,000","960,000","550,000",,,,,,,,-4.0%,-1.8%,2.6%,-5.0%,-14.1%
1989.05,"2,820,000","540,000","780,000","920,000","570,000",,,,,,,,-1.7%,-3.6%,-1.3%,-4.2%,3.6%
1989.06,"2,820,000","500,000","790,000","940,000","590,000",,,,,,,,0.0%,-7.4%,1.3%,2.2%,3.5%
1989.07,"2,950,000","510,000","850,000","980,000","610,000",,,,,,,,4.6%,2.0%,7.6%,4.3%,3.4%
1989.08,"3,010,000","510,000","860,000","1,010,000","630,000",,,,,,,,2.0%,0.0%,1.2%,3.1%,3.3%
1989.09,"3,200,000","580,000","880,000","1,080,000","670,000",,,,,,,,6.3%,13.7%,2.3%,6.9%,6.3%
1989.10,"3,160,000","570,000","880,000","1,030,000","680,000",,,,,,,,-1.3%,-1.7%,0.0%,-4.6%,1.5%
1989.11,"3,090,000","500,000","870,000","1,020,000","700,000",,,,,,,,-2.2%,-12.3%,-1.1%,-1.0%,2.9%
1989.12,"3,050,000","520,000","860,000","1,030,000","640,000",,,,,,,,-1.3%,4.0%,-1.1%,1.0%,-8.6%
1990.01,"3,290,000","590,000","870,000","1,150,000","680,000",,0.9%,-4.8%,2.4%,5.5%,-2.9%,,7.9%,13.5%,1.2%,11.7%,6.3%
1990.02,"3,080,000","540,000","850,000","1,020,000","680,000",,-2.8%,-8.5%,0.0%,-3.8%,3.0%,,-6.4%,-8.5%,-2.3%,-11.3%,0.0%
1990.03,"3,030,000","530,000","830,000","1,040,000","620,000",,1.3%,-7.0%,7.8%,3.0%,-3.1%,,-1.6%,-1.9%,-2.4%,2.0%,-8.8%
1990.04,"2,920,000","510,000","820,000","1,000,000","590,000",,1.7%,-8.9%,3.8%,4.2%,7.3%,,-3.6%,-3.8%,-1.2%,-3.8%,-4.8%
1990.05,"2,900,000","500,000","800,000","1,000,000","590,000",,2.8%,-7.4%,2.6%,8.7%,3.5%,,-0.7%,-2.0%,-2.4%,0.0%,0.0%
1990.06,"2,900,000","510,000","820,000","990,000","580,000",,2.8%,2.0%,3.8%,5.3%,-1.7%,,0.0%,2.0%,2.5%,-1.0%,-1.7%
1990.07,"2,890,000","510,000","810,000","1,000,000","580,000",,-2.0%,0.0%,-4.7%,2.0%,-4.9%,,-0.3%,0.0%,-1.2%,1.0%,0.0%
1990.08,"3,030,000","510,000","840,000","1,080,000","590,000",,0.7%,0.0%,-2.3%,6.9%,-6.3%,,4.8%,0.0%,3.7%,8.0%,1.7%
1990.09,"2,870,000","510,000","810,000","1,000,000","550,000",,-10.3%,-12.1%,-8.0%,-7.4%,-17.9%,,-5.3%,0.0%,-3.6%,-7.4%,-6.8%
1990.10,"2,820,000","490,000","780,000","990,000","560,000",,-10.8%,-14.0%,-11.4%,-3.9%,-17.6%,,-1.7%,-3.9%,-3.7%,-1.0%,1.8%
1990.11,"2,700,000","480,000","740,000","970,000","520,000",,-12.6%,-4.0%,-14.9%,-4.9%,-25.7%,,-4.3%,-2.0%,-5.1%,-2.0%,-7.1%
1990.12,"2,620,000","460,000","720,000","930,000","510,000",,-14.1%,-11.5%,-16.3%,-9.7%,-20.3%,,-3.0%,-4.2%,-2.7%,-4.1%,-1.9%
1991.01,"2,630,000","430,000","760,000","920,000","520,000",,-20.1%,-27.1%,-12.6%,-20.0%,-23.5%,,0.4%,-6.5%,5.6%,-1.1%,2.0%
1991.02,"2,800,000","500,000","810,000","950,000","540,000",,-9.1%,-7.4%,-4.7%,-6.9%,-20.6%,,6.5%,16.3%,6.6%,3.3%,3.8%
1991.03,"2,830,000","520,000","830,000","940,000","540,000",,-6.6%,-1.9%,0.0%,-9.6%,-12.9%,,1.1%,4.0%,2.5%,-1.1%,0.0%
1991.04,"2,930,000","530,000","840,000","990,000","580,000",,0.3%,3.9%,2.4%,-1.0%,-1.7%,,3.5%,1.9%,1.2%,5.3%,7.4%
1991.05,"3,080,000","530,000","870,000","1,080,000","600,000",,6.2%,6.0%,8.7%,8.0%,1.7%,,5.1%,0.0%,3.6%,9.1%,3.4%
1991.06,"3,070,000","530,000","850,000","1,070,000","620,000",,5.9%,3.9%,3.7%,8.1%,6.9%,,-0.3%,0.0%,-2.3%,-0.9%,3.3%
1991.07,"2,950,000","540,000","800,000","1,010,000","600,000",,2.1%,5.9%,-1.2%,1.0%,3.4%,,-3.9%,1.9%,-5.9%,-5.6%,-3.2%
1991.08,"2,840,000","520,000","800,000","980,000","540,000",,-6.3%,2.0%,-4.8%,-9.3%,-8.5%,,-3.7%,-3.7%,0.0%,-3.0%,-10.0%
1991.09,"2,860,000","510,000","770,000","980,000","590,000",,-0.3%,0.0%,-4.9%,-2.0%,7.3%,,0.7%,-1.9%,-3.8%,0.0%,9.3%
1991.10,"2,770,000","480,000","790,000","960,000","540,000",,-1.8%,-2.0%,1.3%,-3.0%,-3.6%,,-3.1%,-5.9%,2.6%,-2.0%,-8.5%
1991.11,"2,800,000","500,000","780,000","980,000","530,000",,3.7%,4.2%,5.4%,1.0%,1.9%,,1.1%,4.2%,-1.3%,2.1%,-1.9%
1991.12,"2,840,000","500,000","760,000","980,000","590,000",,8.4%,8.7%,5.6%,5.4%,15.7%,,1.4%,0.0%,-2.6%,0.0%,11.3%
1992.01,"2,960,000","510,000","870,000","980,000","600,000",,12.5%,18.6%,14.5%,6.5%,15.4%,,4.2%,2.0%,14.5%,0.0%,1.7%
1992.02,"3,170,000","540,000","980,000","1,030,000","610,000",,13.2%,8.0%,21.0%,8.4%,13.0%,,7.1%,5.9%,12.6%,5.1%,1.7%
1992.03,"3,180,000","580,000","940,000","1,050,000","620,000",,12.4%,11.5%,13.3%,11.7%,14.8%,,0.3%,7.4%,-4.1%,1.9%,1.6%
1992.04,"3,170,000","560,000","910,000","1,070,000","630,000",,8.2%,5.7%,8.3%,8.1%,8.6%,,-0.3%,-3.4%,-3.2%,1.9%,1.6%
1992.05,"3,100,000","570,000","880,000","1,030,000","620,000",,0.6%,7.5%,1.1%,-4.6%,3.3%,,-2.2%,1.8%,-3.3%,-3.7%,-1.6%
1992.06,"3,020,000","590,000","840,000","980,000","610,000",,-1.6%,11.3%,-1.2%,-8.4%,-1.6%,,-2.6%,3.5%,-4.5%,-4.9%,-1.6%
1992.07,"3,030,000","540,000","870,000","1,020,000","590,000",,2.7%,0.0%,8.7%,1.0%,-1.7%,,0.3%,-8.5%,3.6%,4.1%,-3.3%
1992.08,"3,010,000","550,000","860,000","1,010,000","590,000",,6.0%,5.8%,7.5%,3.1%,9.3%,,-0.7%,1.9%,-1.1%,-1.0%,0.0%
1992.09,"3,060,000","570,000","900,000","1,020,000","570,000",,7.0%,11.8%,16.9%,4.1%,-3.4%,,1.7%,3.6%,4.7%,1.0%,-3.4%
1992.10,"3,240,000","600,000","940,000","1,070,000","640,000",,17.0%,25.0%,19.0%,11.5%,18.5%,,5.9%,5.3%,4.4%,4.9%,12.3%
1992.11,"3,320,000","600,000","950,000","1,100,000","670,000",,18.6%,20.0%,21.8%,12.2%,26.4%,,2.5%,0.0%,1.1%,2.8%,4.7%
1992.12,"3,460,000","620,000","960,000","1,200,000","680,000",,21.8%,24.0%,26.3%,22.4%,15.3%,,4.2%,3.3%,1.1%,9.1%,1.5%
1993.01,"3,370,000","630,000","930,000","1,140,000","670,000",,13.9%,23.5%,6.9%,16.3%,11.7%,,-2.6%,1.6%,-3.1%,-5.0%,-1.5%
1993.02,"3,210,000","600,000","890,000","1,080,000","630,000",,1.3%,11.1%,-9.2%,4.9%,3.3%,,-4.7%,-4.8%,-4.3%,-5.3%,-6.0%
1993.03,"3,120,000","560,000","930,000","1,030,000","600,000",,-1.9%,-3.4%,-1.1%,-1.9%,-3.2%,,-2.8%,-6.7%,4.5%,-4.6%,-4.8%
1993.04,"3,120,000","560,000","900,000","1,080,000","580,000",,-1.6%,0.0%,-1.1%,0.9%,-7.9%,,0.0%,0.0%,-3.2%,4.9%,-3.3%
1993.05,"3,260,000","560,000","940,000","1,120,000","640,000",,5.2%,-1.8%,6.8%,8.7%,3.2%,,4.5%,0.0%,4.4%,3.7%,10.3%
1993.06,"3,360,000","570,000","960,000","1,170,000","660,000",,11.3%,-3.4%,14.3%,19.4%,8.2%,,3.1%,1.8%,2.1%,4.5%,3.1%
1993.07,"3,460,000","590,000","970,000","1,190,000","710,000",,14.2%,9.3%,11.5%,16.7%,20.3%,,3.0%,3.5%,1.0%,1.7%,7.6%
1993.08,"3,490,000","620,000","960,000","1,200,000","710,000",,15.9%,12.7%,11.6%,18.8%,20.3%,,0.9%,5.1%,-1.0%,0.8%,0.0%
1993.09,"3,540,000","640,000","970,000","1,220,000","700,000",,15.7%,12.3%,7.8%,19.6%,22.8%,,1.4%,3.2%,1.0%,1.7%,-1.4%
1993.10,"3,550,000","620,000","980,000","1,230,000","720,000",,9.6%,3.3%,4.3%,15.0%,12.5%,,0.3%,-3.1%,1.0%,0.8%,2.9%
1993.11,"3,700,000","670,000","1,020,000","1,250,000","760,000",,11.4%,11.7%,7.4%,13.6%,13.4%,,4.2%,8.1%,4.1%,1.6%,5.6%
1993.12,"3,870,000","640,000","1,110,000","1,350,000","770,000",,11.8%,3.2%,15.6%,12.5%,13.2%,,4.6%,-4.5%,8.8%,8.0%,1.3%
1994.01,"3,790,000","660,000","1,020,000","1,280,000","820,000",,12.5%,4.8%,9.7%,12.3%,22.4%,,-2.1%,3.1%,-8.1%,-5.2%,6.5%
1994.02,"3,590,000","640,000","940,000","1,230,000","780,000",,11.8%,6.7%,5.6%,13.9%,23.8%,,-5.3%,-3.0%,-7.8%,-3.9%,-4.9%
1994.03,"3,670,000","620,000","980,000","1,280,000","790,000",,17.6%,10.7%,5.4%,24.3%,31.7%,,2.2%,-3.1%,4.3%,4.1%,1.3%
1994.04,"3,750,000","620,000","1,010,000","1,320,000","800,000",,20.2%,10.7%,12.2%,22.2%,37.9%,,2.2%,0.0%,3.1%,3.1%,1.3%
1994.05,"3,700,000","640,000","1,010,000","1,270,000","780,000",,13.5%,14.3%,7.4%,13.4%,21.9%,,-1.3%,3.2%,0.0%,-3.8%,-2.5%
1994.06,"3,590,000","640,000","990,000","1,210,000","740,000",,6.8%,12.3%,3.1%,3.4%,12.1%,,-3.0%,0.0%,-2.0%,-4.7%,-5.1%
1994.07,"3,450,000","610,000","940,000","1,180,000","720,000",,-0.3%,3.4%,-3.1%,-0.8%,1.4%,,-3.9%,-4.7%,-5.1%,-2.5%,-2.7%
1994.08,"3,490,000","620,000","940,000","1,200,000","740,000",,0.0%,0.0%,-2.1%,0.0%,4.2%,,1.2%,1.6%,0.0%,1.7%,2.8%
1994.09,"3,400,000","600,000","960,000","1,150,000","680,000",,-4.0%,-6.3%,-1.0%,-5.7%,-2.9%,,-2.6%,-3.2%,2.1%,-4.2%,-8.1%
1994.10,"3,410,000","580,000","950,000","1,170,000","700,000",,-3.9%,-6.5%,-3.1%,-4.9%,-2.8%,,0.3%,-3.3%,-1.0%,1.7%,2.9%
1994.11,"3,360,000","570,000","920,000","1,170,000","710,000",,-9.2%,-14.9%,-9.8%,-6.4%,-6.6%,,-1.5%,-1.7%,-3.2%,0.0%,1.4%
1994.12,"3,450,000","580,000","940,000","1,240,000","700,000",,-10.9%,-9.4%,-15.3%,-8.1%,-9.1%,,2.7%,1.8%,2.2%,6.0%,-1.4%
1995.01,"3,340,000","560,000","890,000","1,150,000","730,000",,-11.9%,-15.2%,-12.7%,-10.2%,-11.0%,,-3.2%,-3.4%,-5.3%,-7.3%,4.3%
1995.02,"3,330,000","600,000","880,000","1,140,000","720,000",,-7.2%,-6.3%,-6.4%,-7.3%,-7.7%,,-0.3%,7.1%,-1.1%,-0.9%,-1.4%
1995.03,"3,310,000","610,000","880,000","1,130,000","680,000",,-9.8%,-1.6%,-10.2%,-11.7%,-13.9%,,-0.6%,1.7%,0.0%,-0.9%,-5.6%
1995.04,"3,130,000","560,000","860,000","1,060,000","640,000",,-16.5%,-9.7%,-14.9%,-19.7%,-20.0%,,-5.4%,-8.2%,-2.3%,-6.2%,-5.9%
1995.05,"3,340,000","560,000","930,000","1,160,000","690,000",,-9.7%,-12.5%,-7.9%,-8.7%,-11.5%,,6.7%,0.0%,8.1%,9.4%,7.8%
1995.06,"3,470,000","610,000","940,000","1,190,000","720,000",,-3.3%,-4.7%,-5.1%,-1.7%,-2.7%,,3.9%,8.9%,1.1%,2.6%,4.3%
1995.07,"3,580,000","590,000","970,000","1,260,000","770,000",,3.8%,-3.3%,3.2%,6.8%,6.9%,,3.2%,-3.3%,3.2%,5.9%,6.9%
1995.08,"3,730,000","630,000","1,010,000","1,300,000","790,000",,6.9%,1.6%,7.4%,8.3%,6.8%,,4.2%,6.8%,4.1%,3.2%,2.6%
1995.09,"3,770,000","670,000","1,020,000","1,290,000","790,000",,10.9%,11.7%,6.3%,12.2%,16.2%,,1.1%,6.3%,1.0%,-0.8%,0.0%
1995.10,"3,730,000","640,000","1,010,000","1,290,000","790,000",,9.4%,10.3%,6.3%,10.3%,12.9%,,-1.1%,-4.5%,-1.0%,0.0%,0.0%
1995.11,"3,730,000","660,000","990,000","1,290,000","800,000",,11.0%,15.8%,7.6%,10.3%,12.7%,,0.0%,3.1%,-2.0%,0.0%,1.3%
1995.12,"3,710,000","610,000","960,000","1,310,000","830,000",,7.5%,5.2%,2.1%,5.6%,18.6%,,-0.5%,-7.6%,-3.0%,1.6%,3.8%
1996.01,"3,680,000","600,000","980,000","1,260,000","840,000",,10.2%,7.1%,10.1%,9.6%,15.1%,,-0.8%,-1.6%,2.1%,-3.8%,1.2%
1996.02,"3,640,000","630,000","920,000","1,230,000","860,000",,9.3%,5.0%,4.5%,7.9%,19.4%,,-1.1%,5.0%,-6.1%,-2.4%,2.4%
1996.03,"3,810,000","670,000","990,000","1,310,000","840,000",,15.1%,9.8%,12.5%,15.9%,23.5%,,4.7%,6.3%,7.6%,6.5%,-2.3%
1996.04,"3,930,000","670,000","1,030,000","1,320,000","910,000",,25.6%,19.6%,19.8%,24.5%,42.2%,,3.1%,0.0%,4.0%,0.8%,8.3%
1996.05,"3,900,000","670,000","1,040,000","1,300,000","890,000",,16.8%,19.6%,11.8%,12.1%,29.0%,,-0.8%,0.0%,1.0%,-1.5%,-2.2%
1996.06,"3,770,000","680,000","960,000","1,280,000","860,000",,8.6%,11.5%,2.1%,7.6%,19.4%,,-3.3%,1.5%,-7.7%,-1.5%,-3.4%
1996.07,"3,830,000","640,000","1,020,000","1,310,000","860,000",,7.0%,8.5%,5.2%,4.0%,11.7%,,1.6%,-5.9%,6.3%,2.3%,0.0%
1996.08,"3,800,000","640,000","1,000,000","1,270,000","880,000",,1.9%,1.6%,-1.0%,-2.3%,11.4%,,-0.8%,0.0%,-2.0%,-3.1%,2.3%
1996.09,"3,720,000","650,000","980,000","1,260,000","840,000",,-1.3%,-3.0%,-3.9%,-2.3%,6.3%,,-2.1%,1.6%,-2.0%,-0.8%,-4.5%
1996.10,"3,730,000","670,000","970,000","1,240,000","840,000",,0.0%,4.7%,-4.0%,-3.9%,6.3%,,0.3%,3.1%,-1.0%,-1.6%,0.0%
1996.11,"3,810,000","670,000","970,000","1,310,000","870,000",,2.1%,1.5%,-2.0%,1.6%,8.7%,,2.1%,0.0%,0.0%,5.6%,3.6%
1996.12,"3,770,000","630,000","1,000,000","1,280,000","860,000",,1.6%,3.3%,4.2%,-2.3%,3.6%,,-1.0%,-6.0%,3.1%,-2.3%,-1.1%
1997.01,"3,860,000","670,000","1,000,000","1,300,000","880,000",,4.9%,11.7%,2.0%,3.2%,4.8%,,2.4%,6.3%,0.0%,1.6%,2.3%
1997.02,"3,890,000","660,000","1,020,000","1,300,000","910,000",,6.9%,4.8%,10.9%,5.7%,5.8%,,0.8%,-1.5%,2.0%,0.0%,3.4%
1997.03,"3,800,000","680,000","940,000","1,290,000","890,000",,-0.3%,1.5%,-5.1%,-1.5%,6.0%,,-2.3%,3.0%,-7.8%,-0.8%,-2.2%
1997.04,"3,790,000","660,000","960,000","1,290,000","880,000",,-3.6%,-1.5%,-6.8%,-2.3%,-3.3%,,-0.3%,-2.9%,2.1%,0.0%,-1.1%
1997.05,"3,910,000","700,000","1,000,000","1,320,000","890,000",,0.3%,4.5%,-3.8%,1.5%,0.0%,,3.2%,6.1%,4.2%,2.3%,1.1%
1997.06,"3,840,000","640,000","1,000,000","1,330,000","870,000",,1.9%,-5.9%,4.2%,3.9%,1.2%,,-1.8%,-8.6%,0.0%,0.8%,-2.2%
1997.07,"3,880,000","640,000","1,000,000","1,330,000","900,000",,1.3%,0.0%,-2.0%,1.5%,4.7%,,1.0%,0.0%,0.0%,0.0%,3.4%
1997.08,"4,050,000","670,000","1,030,000","1,400,000","940,000",,6.6%,4.7%,3.0%,10.2%,6.8%,,4.4%,4.7%,3.0%,5.3%,4.4%
1997.09,"4,090,000","740,000","1,040,000","1,410,000","910,000",,9.9%,13.8%,6.1%,11.9%,8.3%,,1.0%,10.4%,1.0%,0.7%,-3.2%
1997.10,"4,200,000","720,000","1,080,000","1,460,000","950,000",,12.6%,7.5%,11.3%,17.7%,13.1%,,2.7%,-2.7%,3.8%,3.5%,4.4%
1997.11,"4,140,000","690,000","1,040,000","1,440,000","960,000",,8.7%,3.0%,7.2%,9.9%,10.3%,,-1.4%,-4.2%,-3.7%,-1.4%,1.1%
1997.12,"4,220,000","690,000","1,090,000","1,460,000","980,000",,11.9%,9.5%,9.0%,14.1%,14.0%,,1.9%,0.0%,4.8%,1.4%,2.1%
1998.01,"4,180,000","700,000","1,030,000","1,460,000","980,000",,8.3%,4.5%,3.0%,12.3%,11.4%,,-0.9%,1.4%,-5.5%,0.0%,0.0%
1998.02,"4,390,000","730,000","1,110,000","1,530,000","1,020,000",,12.9%,10.6%,8.8%,17.7%,12.1%,,5.0%,4.3%,7.8%,4.8%,4.1%
1998.03,"4,480,000","820,000","1,140,000","1,560,000","970,000",,17.9%,20.6%,21.3%,20.9%,9.0%,,2.1%,12.3%,2.7%,2.0%,-4.9%
1998.04,"4,440,000","770,000","1,150,000","1,540,000","980,000",,17.2%,16.7%,19.8%,19.4%,11.4%,,-0.9%,-6.1%,0.9%,-1.3%,1.0%
1998.05,"4,490,000","770,000","1,140,000","1,570,000","1,010,000",,14.8%,10.0%,14.0%,18.9%,13.5%,,1.1%,0.0%,-0.9%,1.9%,3.1%
1998.06,"4,430,000","720,000","1,130,000","1,570,000","1,010,000",,15.4%,12.5%,13.0%,18.0%,16.1%,,-1.3%,-6.5%,-0.9%,0.0%,0.0%
1998.07,"4,530,000","720,000","1,130,000","1,620,000","1,060,000",,16.8%,12.5%,13.0%,21.8%,17.8%,,2.3%,0.0%,0.0%,3.2%,5.0%
1998.08,"4,500,000","720,000","1,120,000","1,600,000","1,050,000",,11.1%,7.5%,8.7%,14.3%,11.7%,,-0.7%,0.0%,-0.9%,-1.2%,-0.9%
1998.09,"4,490,000","770,000","1,160,000","1,560,000","1,000,000",,9.8%,4.1%,11.5%,10.6%,9.9%,,-0.2%,6.9%,3.6%,-2.5%,-4.8%
1998.10,"4,560,000","750,000","1,160,000","1,620,000","1,030,000",,8.6%,4.2%,7.4%,11.0%,8.4%,,1.6%,-2.6%,0.0%,3.8%,3.0%
1998.11,"4,640,000","750,000","1,170,000","1,700,000","1,010,000",,12.1%,8.7%,12.5%,18.1%,5.2%,,1.8%,0.0%,0.9%,4.9%,-1.9%
1998.12,"4,770,000","730,000","1,230,000","1,710,000","1,090,000",,13.0%,5.8%,12.8%,17.1%,11.2%,,2.8%,-2.7%,5.1%,0.6%,7.9%
1999.01,"4,680,000","740,000","1,170,000","1,700,000","1,070,000",,12.0%,5.7%,13.6%,16.4%,9.2%,,-1.9%,1.4%,-4.9%,-0.6%,-1.8%
1999.02,"4,560,000","760,000","1,110,000","1,670,000","1,020,000",,3.9%,4.1%,0.0%,9.2%,0.0%,,-2.6%,2.7%,-5.1%,-1.8%,-4.7%
1999.03,"4,600,000","740,000","1,120,000","1,690,000","1,050,000",,2.7%,-9.8%,-1.8%,8.3%,8.2%,,0.9%,-2.6%,0.9%,1.2%,2.9%
1999.04,"4,560,000","720,000","1,120,000","1,650,000","1,060,000",,2.7%,-6.5%,-2.6%,7.1%,8.2%,,-0.9%,-2.7%,0.0%,-2.4%,1.0%
1999.05,"4,660,000","740,000","1,130,000","1,720,000","1,070,000",,3.8%,-3.9%,-0.9%,9.6%,5.9%,,2.2%,2.8%,0.9%,4.2%,0.9%
1999.06,"4,870,000","740,000","1,240,000","1,770,000","1,110,000",,9.9%,2.8%,9.7%,12.7%,9.9%,,4.5%,0.0%,9.7%,2.9%,3.7%
1999.07,"4,720,000","710,000","1,170,000","1,740,000","1,100,000",,4.2%,-1.4%,3.5%,7.4%,3.8%,,-3.1%,-4.1%,-5.6%,-1.7%,-0.9%
1999.08,"4,720,000","790,000","1,170,000","1,700,000","1,060,000",,4.9%,9.7%,4.5%,6.3%,1.0%,,0.0%,11.3%,0.0%,-2.3%,-3.6%
1999.09,"4,600,000","700,000","1,110,000","1,700,000","1,080,000",,2.4%,-9.1%,-4.3%,9.0%,8.0%,,-2.5%,-11.4%,-5.1%,0.0%,1.9%
1999.10,"4,580,000","710,000","1,120,000","1,690,000","1,060,000",,0.4%,-5.3%,-3.4%,4.3%,2.9%,,-0.4%,1.4%,0.9%,-0.6%,-1.9%
1999.11,"4,530,000","670,000","1,120,000","1,690,000","1,050,000",,-2.4%,-10.7%,-4.3%,-0.6%,4.0%,,-1.1%,-5.6%,0.0%,0.0%,-0.9%
