Table 2 - 2018,,,,,,,,,,,,,,,,,
Federal Housing Finance Agency,,,,,,,,,,,,,,,,,
www.fhfa.gov,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"NATIONAL STATISTICS FOR NEW FIXED-RATE, FULLY-AMORTIZING RESIDENTIAL MORTGAGES ON OWNER-OCCUPIED, SITE-BUILT PROPERTIES IN THE UNITED STATES",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Mortgage,Average,Average,Average,Average,Average,Average,Average,Percent of Loans,,,,,Share of ,Enterprise,,,
SEP-2018,311.4,311.4,244.9,29.0,4.8,81.8,82.0,16.4,31.2,16.2,36.2,754.9,0.8,NA,NA,,
OCT-2018,308.6,308.6,243.0,28.9,4.9,81.8,82.1,16.6,30.3,16.5,36.6,755.8,0.7,NA,NA,,
NOV-2018,308.0,308.0,243.4,29.0,5.0,82.0,82.2,15.3,30.5,16.6,37.6,756.2,0.4,NA,NA,,
DEC-2018,314.0,314.0,248.0,29.0,5.0,82.0,82.2,16.2,29.1,16.8,37.8,754.4,1.0,NA,NA,,
,,,,,,,,,,,,,,,,,
"Non-Enterprise, Conventional, Conforming-Sized Mortgages",,,,,,,,,,,,,,,,,
JAN-2018,254.5,254.5,178.9,22.0,4.5,67.0,67.4,42.7,25.3,12.2,19.8,730.3,6.8,NA,NA,,
FEB-2018,250.8,250.8,179.7,21.7,4.7,67.8,68.2,41.4,24.8,11.9,21.9,733.6,5.4,NA,NA,,
MAR-2018,253.0,253.0,179.8,21.2,4.8,67.1,67.6,42.7,23.9,13.2,20.2,732.9,7.1,NA,NA,,
APR-2018,249.9,249.9,176.7,21.5,4.7,67.0,67.6,43.5,22.1,12.7,21.7,735.5,5.9,NA,NA,,
MAY-2018,250.8,250.8,179.9,22.4,4.8,68.6,69.2,41.1,22.9,12.7,23.3,736.2,5.7,NA,NA,,
JUN-2018,270.6,270.6,194.7,23.0,4.8,68.9,69.5,40.0,24.7,13.0,22.2,741.0,5.5,NA,NA,,
JUL-2018,261.7,261.7,186.5,22.5,4.8,67.6,68.0,41.9,25.0,12.9,20.2,736.1,5.9,NA,NA,,
AUG-2018,266.9,266.9,191.6,22.7,4.8,68.3,69.0,40.6,26.1,12.7,20.6,736.9,5.3,NA,NA,,
SEP-2018,260.9,260.9,186.5,22.5,4.8,67.7,68.2,42.8,24.9,12.7,19.6,736.9,6.1,NA,NA,,
OCT-2018,271.0,271.0,195.5,22.7,5.0,68.8,69.3,39.1,26.3,14.4,20.3,737.7,6.1,NA,NA,,
NOV-2018,263.1,263.1,193.9,22.5,5.2,68.5,68.8,37.9,27.9,12.6,21.6,732.8,6.6,NA,NA,,
DEC-2018,264.9,264.9,188.1,22.2,5.2,67.7,68.4,41.3,24.6,14.4,19.7,733.3,5.8,NA,NA,,
,,,,,,,,,,,,,,,,,
PURCHASE-MONEY AND REFINANCE MORTGAGES,,,,,,,,,,,,,,,,,
All Mortgages,,,,,,,,,,,,,,,,,
JAN-2018,NA,331.6,243.0,26.9,4.2,77.7,78.0,28.3,25.1,12.8,33.8,728.2,4.0,NA,46.3,,
FEB-2018,NA,325.8,241.6,26.9,4.3,78.3,78.6,27.3,25.0,12.6,35.1,729.1,3.6,NA,43.0,,
MAR-2018,NA,321.2,241.8,27.0,4.6,79.1,79.4,25.5,24.7,12.1,37.7,729.5,4.0,NA,36.2,,
APR-2018,NA,324.5,245.0,27.2,4.6,79.3,79.6,25.2,23.4,12.7,38.7,730.8,3.6,NA,32.7,,
MAY-2018,NA,321.3,245.0,27.3,4.7,79.6,80.0,24.2,23.7,12.4,39.6,731.5,3.5,NA,30.1,,
JUN-2018,NA,327.3,252.0,27.6,4.8,80.4,80.8,23.0,23.4,12.8,40.9,732.7,3.7,NA,27.1,,
JUL-2018,NA,319.2,244.5,27.4,4.8,79.8,80.0,23.7,23.6,12.9,39.9,730.4,3.6,NA,28.4,,
AUG-2018,NA,323.7,246.7,27.5,4.8,79.5,79.8,24.5,24.0,12.7,38.8,731.2,3.5,NA,29.9,,
SEP-2018,NA,320.4,244.0,27.4,4.8,79.2,79.4,25.0,24.0,12.9,38.2,729.6,4.0,NA,30.5,,
OCT-2018,NA,325.9,244.6,27.4,4.9,79.3,79.6,24.7,23.7,13.4,38.2,729.1,3.9,NA,32.1,,
NOV-2018,NA,314.4,239.8,27.2,5.1,78.9,79.1,24.7,23.4,12.8,39.1,728.2,4.4,NA,30.6,,
DEC-2018,NA,318.0,242.5,27.4,5.1,79.1,79.4,24.9,22.8,13.3,39.0,727.8,4.4,NA,30.8,,
,,,,,,,,,,,,,,,,,
"Source: National Mortgage Database (NMDB®), Federal Housing Finance Agency",,,,,,,,,,,,,,,,,
Note: The explanation for each row category and column statistic is provided in the Decriptions tab. NA is not applicable.  The tables reflect the most up to date data available. ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
