Table 1 - 2017,,,,,,,,,,,,,,,,,
Federal Housing Finance Agency,,,,,,,,,,,,,,,,,
www.fhfa.gov,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"NATIONAL STATISTICS FOR NEW FIXED-RATE, FULLY-AMORTIZING RESIDENTIAL MORTGAGES ON OWNER-OCCUPIED, SITE-BUILT PROPERTIES IN THE UNITED STATES",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Mortgage,Average,Average,Average,Average,Average,Average,Average,Percent of Loans,,,,,Share of ,Enterprise,,,
SEP-2017,302.7,302.7,237.7,28.7,4.1,81.5,81.9,16.4,32.7,16.0,34.9,756.2,0.7,NA,NA,,
OCT-2017,305.6,305.6,239.4,28.7,4.1,81.5,81.9,16.6,32.4,14.9,36.1,755.0,0.6,NA,NA,,
NOV-2017,305.6,305.6,240.3,28.8,4.1,81.6,81.9,16.2,32.0,16.6,35.2,756.7,0.5,NA,NA,,
DEC-2017,313.2,313.2,245.3,28.8,4.2,81.7,82.1,16.2,32.2,15.8,35.8,753.8,0.8,NA,NA,,
,,,,,,,,,,,,,,,,,
"Non-Enterprise, Conventional, Conforming-Sized Mortgages",,,,,,,,,,,,,,,,,
JAN-2017,246.1,246.1,177.3,22.5,4.6,69.9,70.5,39.0,24.3,14.5,22.2,733.9,5.2,NA,NA,,
FEB-2017,233.8,233.8,170.9,22.4,4.6,69.7,70.3,40.0,22.8,15.3,21.8,732.8,6.2,NA,NA,,
MAR-2017,246.5,246.5,180.6,22.9,4.6,71.6,72.2,36.7,23.1,15.7,24.5,734.4,5.8,NA,NA,,
APR-2017,237.3,237.3,171.2,22.1,4.5,69.7,70.3,39.3,22.3,15.8,22.6,732.4,5.7,NA,NA,,
MAY-2017,237.1,237.1,171.4,22.2,4.5,69.9,70.7,40.2,21.7,15.3,22.7,736.0,5.3,NA,NA,,
JUN-2017,251.0,251.0,181.4,22.7,4.4,70.9,71.8,39.6,21.4,16.2,22.8,738.9,4.4,NA,NA,,
JUL-2017,255.6,255.6,185.2,22.8,4.4,70.6,71.3,39.8,23.1,13.3,23.9,734.6,5.6,NA,NA,,
AUG-2017,249.3,249.3,180.8,22.6,4.4,70.3,70.9,39.7,22.6,14.4,23.3,735.0,5.8,NA,NA,,
SEP-2017,244.3,244.3,174.7,22.3,4.3,69.4,69.8,40.6,22.5,15.3,21.6,732.5,5.3,NA,NA,,
OCT-2017,252.4,252.4,184.5,23.4,4.3,71.6,72.2,37.2,23.9,14.8,24.1,738.9,4.6,NA,NA,,
NOV-2017,259.5,259.5,189.1,22.8,4.4,70.4,70.9,38.2,23.9,17.6,20.3,736.5,4.7,NA,NA,,
DEC-2017,265.4,265.4,193.5,23.4,4.5,71.3,71.9,37.3,25.1,15.8,21.8,735.9,4.7,NA,NA,,
,,,,,,,,,,,,,,,,,
PURCHASE-MONEY AND REFINANCE MORTGAGES,,,,,,,,,,,,,,,,,
All Mortgages,,,,,,,,,,,,,,,,,
JAN-2017,NA,333.0,235.9,26.1,4.1,76.1,76.5,32.4,24.0,13.1,30.6,731.7,3.4,NA,52.1,,
FEB-2017,NA,314.7,231.5,26.3,4.2,77.6,77.9,29.2,23.5,13.3,34.0,730.0,3.6,NA,47.1,,
MAR-2017,NA,311.8,234.8,26.8,4.3,79.3,79.6,25.6,23.8,13.2,37.4,728.2,3.9,NA,40.2,,
APR-2017,NA,311.3,235.8,26.7,4.3,79.4,79.7,25.1,23.8,13.3,37.8,729.5,3.5,NA,37.7,,
MAY-2017,NA,314.3,240.6,26.9,4.2,80.0,80.3,23.7,24.2,12.8,39.2,732.0,3.4,NA,35.1,,
JUN-2017,NA,323.9,247.7,27.1,4.2,80.3,80.6,23.4,24.1,13.3,39.2,732.7,3.3,NA,33.0,,
JUL-2017,NA,324.8,246.8,27.1,4.1,79.8,80.1,24.5,24.6,12.9,38.0,731.2,3.6,NA,36.4,,
AUG-2017,NA,326.2,246.6,27.0,4.1,79.4,79.8,25.0,25.3,13.4,36.3,732.5,3.4,NA,38.1,,
SEP-2017,NA,324.2,243.3,27.0,4.1,79.0,79.3,26.1,25.2,12.8,36.0,731.2,3.6,NA,40.2,,
OCT-2017,NA,332.9,246.2,26.9,4.1,78.4,78.7,27.3,25.6,12.7,34.4,731.4,3.3,NA,43.8,,
NOV-2017,NA,329.3,244.5,26.9,4.1,78.0,78.3,27.6,25.2,13.3,33.9,730.0,3.6,NA,43.6,,
DEC-2017,NA,337.2,251.0,27.2,4.1,78.7,79.0,27.0,25.0,13.0,35.0,730.1,3.6,NA,42.3,,
,,,,,,,,,,,,,,,,,
"Source: National Mortgage Database (NMDB®), Federal Housing Finance Agency",,,,,,,,,,,,,,,,,
Note: The explanation for each row category and column statistic is provided in the Decriptions tab. NA is not applicable.  The tables reflect the most up to date data available. ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
